Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round),Sentiment
2024-12-26,AusperBio is a biotechnology company that develops innovative drugs for curing chronic hepatitis B and other major infectious diseases.,AusperBio,https://www.crunchbase.com/organization/ausperbio,"Biopharma, Biotechnology, Pharmaceutical","Hangzhou, Zhejiang, China, Asia",Series B - AusperBio,https://www.crunchbase.com/funding_round/ausperbio-series-b--dea38876,6,"BioVenture, CDH Investments, Hankang Capital, InnoPinnacle Fund, Qiming Venture Partners, Sherpa Healthcare Partners",Early Stage Venture,Hankang Capital,Series B,4,73000000,USD,73000000,,,,173666990,USD,173666990,Yes,,http://www.ausperbio.com,$10M to $50M,Early Stage Venture,1,"3,140",
2024-12-11,Mianbi Smart enables large-scale model acceleration and application execution using artificial intelligence.,Mianbi Smart,https://www.crunchbase.com/organization/mianbi-smart,"Artificial Intelligence (AI), Information Services, Software","Haidian, Beijing, China, Asia",Venture Round - Mianbi Smart,https://www.crunchbase.com/funding_round/mianbi-smart-series-unknown--fe1fd19a,6,"Beijing Artificial Intelligence Industry Investment Fund, CDH Investments, Loongson Ventures, SAIF Partners, Zero2IPO Capital, Zhongguancun Science City Science",,Loongson Ventures,Venture - Series Unknown,5,,,,,,,10000000,CNY,1477367,Yes,,https://modelbest.cn,,,,"3,165",
2024-12-11,Angitia Biopharmaceuticals is a global biotechnology company focusing on the discovery and development of innovative therapeutics.,Angitia Biopharmaceuticals,https://www.crunchbase.com/organization/angitia-biopharmaceuticals,"Biopharma, Biotechnology, Health Care, Medical","Guangzhou, Guangdong, China, Asia",Series C - Angitia Biopharmaceuticals,https://www.crunchbase.com/funding_round/angitia-biopharmaceuticals-series-c--f4b04140,7,"3H Health Investment, Bain Capital Life Sciences, Elikon Venture, Janus Henderson Investors, Legend Capital, OrbiMed, Yonghua Capital",Late Stage Venture,Bain Capital Life Sciences,Series C,5,120000000,USD,120000000,,,,276000000,USD,276000000,Yes,,https://angitiabio.com/,,Late Stage Venture,2,"3,883",
2024-12-27,Chasing Light is a manufacturing firm that specializes in organic semiconductor photovoltaic technology.,Chasing Light Technology,https://www.crunchbase.com/organization/chasing-light-technology,"Electronics, Manufacturing, Product Research, Semiconductor","Guangzhou, Guangdong, China, Asia",Series A - Chasing Light Technology,https://www.crunchbase.com/funding_round/chasing-light-technology-series-a--e50d884a,5,"Addor Capital, Beihang Investment, Guangzhou Development District Industrial Fund, SPIC Industrial Fund Management, Suikai Investment",Early Stage Venture,,Series A,4,100000000,CNY,13700882,,,,100000000,CNY,13700882,Yes,,http://www.chasinglight.cn/,,Early Stage Venture,,"4,073",
2024-12-31,NASN Automotive Electronics is a manufactures automotive electronics and driving related core technology products.,NASN Automotive Electronics,https://www.crunchbase.com/organization/nasa-automotive-electronics,"Automotive, Electronics, Manufacturing","Shanghai, Shanghai, China, Asia",Series D - NASN Automotive Electronics,https://www.crunchbase.com/funding_round/nasa-automotive-electronics-series-d--6119affc,3,"SDIC Fund Management, SDIC Juli, Yunhao Capital",Late Stage Venture,"SDIC Fund Management, SDIC Juli",Series D,6,500000000,CNY,68510982,,,,233989246,USD,233989246,Yes,,http://www.nasn-auto.com,$10M to $50M,Late Stage Venture,1,"4,269",
2024-12-13,Guangyin Technology focuses on the research and development and production of perovskite photovoltaics.,Guangyin Technology,https://www.crunchbase.com/organization/guangyin-technology,"Clean Energy, Energy, Energy Management, Renewable Energy","Shenzhen, Guangdong, China, Asia",Series A - Guangyin Technology,https://www.crunchbase.com/funding_round/guangyin-technology-series-a--96e3daa8,4,"Kecheng Capital, Plum Ventures, Shenqi Capital, Xuzhou High-tech Zone Industrial Investment Fund",Early Stage Venture,,Series A,2,,,,,,,50000000,CNY,7014000,Yes,,,,Early Stage Venture,3,"4,776",
2024-12-31,VelaVigo is a start-up company engaged in macromolecular biopharmaceutical.,VelaVigo,https://www.crunchbase.com/organization/velavigo,"Biopharma, Biotechnology, Health Care, Therapeutics","Shanghai, Shanghai, China, Asia",Seed Round - VelaVigo,https://www.crunchbase.com/funding_round/velavigo-seed--923768e6,7,"Delian Capital, Everjoy Fortune, Honghui Capital, Lenovo Star, Panacea Venture, Shanghai Biomedical Industrial Equity Investment Fund, Wanwu Capital",Seed,"Panacea Venture, Shanghai Biomedical Industrial Equity Investment Fund",Seed,3,50000000,USD,50000000,,,,100000000,USD,100000000,Yes,,https://www.velavigo.com/,,Seed,2,"5,061",
2024-11-27,"Bangqi Biological focuses on R&D, production, & sales of instruments and reagents for autoimmunity & allergy diagnosis.",Bangqi Biological,https://www.crunchbase.com/organization/bangqi-biological,"Biotechnology, Life Science, Medical","Suzhou, Jiangsu, China, Asia",Series B - Bangqi Biological,https://www.crunchbase.com/funding_round/bangqi-biological-series-b--c6d502b5,2,"Jinxin Capital, Zhangjiagang Industrial Capital",Early Stage Venture,,Series B,4,,,,,,,,,,Yes,,https://www.bangqbio.com/,,Early Stage Venture,,"5,289",
2024-12-04,Superfuse specializes in R&D and production of high-performance fuse products & new generation Pyrofuse instantaneous breaker products.,Superfuse,https://www.crunchbase.com/organization/superfuse,"Energy, Manufacturing","Hangzhou, Zhejiang, China, Asia",Series B - Superfuse,https://www.crunchbase.com/funding_round/superfuse-series-b--2b942c0c,1,Renfa Investment,Early Stage Venture,Renfa Investment,Series B,2,,,,,,,,,,Yes,,https://superfuse.cn/sy,Less than $1M,Early Stage Venture,1,"5,461",
2024-12-16,Wanxun Technology is a service robot developer dedicated to dexterous and interactive service robots for industries and families.,Wanxun Technology,https://www.crunchbase.com/organization/wanxun-technology,"Hardware, Robotics","Shenzhen, Guangdong, China, Asia",Series A - Wanxun Technology,https://www.crunchbase.com/funding_round/wanxun-technology-series-a--73636702,6,"Beijing Robot Industry Fund, Dehu Capital, Lanchi Ventures, Shunwei Capital, Starlight Capital, Yuantai Fund",Early Stage Venture,Beijing Robot Industry Fund,Series A,2,200000000,CNY,27459326,,,,37459326,USD,37459326,Yes,,https://www.wissonrobotics.com/en/,,Early Stage Venture,1,"5,605",
2024-11-29,Zhongde Technology specializes in the R&D and manufacture of VC Lids for chip packaging.,Zhongde Technology,https://www.crunchbase.com/organization/zhongde-technology-a109,"Manufacturing, Semiconductor, Service Industry","Zhongshan, Anhui, China, Asia",Seed Round - Zhongde Technology,https://www.crunchbase.com/funding_round/zhongde-technology-a109-seed--c4a8a58a,3,"Cowin Capital, Dongguan Zhifu, Wanzhong Holding",Seed,Cowin Capital,Seed,2,,,,,,,,,,Yes,,,,Seed,,"5,801",
2024-12-03,Unisic designs and manufactures silicon carbide core power components.,Unisic,https://www.crunchbase.com/organization/unisic,"Electronics, Energy, Industrial, Manufacturing","Suzhou, Jiangsu, China, Asia",Series B - Unisic,https://www.crunchbase.com/funding_round/unisic-series-b--5305c2d6,3,"RiverHead Capital, SDIC Venture Capital, Volcanics Venture",Early Stage Venture,SDIC Venture Capital,Series B,4,200000000,CNY,27454426,,,,71055311,USD,71055311,Yes,,http://www.unisic-tech.com,,Early Stage Venture,,"5,915",
2024-12-30,Optical Standard Technology focuses on the design and manufacture of optical computing chips and optical computing boards.,Optical Standard Technology,https://www.crunchbase.com/organization/optical-standard-technology,"Artificial Intelligence (AI), Manufacturing, Optical Communication","Suzhou, Jiangsu, China, Asia",Funding Round - Optical Standard Technology,https://www.crunchbase.com/funding_round/optical-standard-technology-undisclosed--c4ba1933,2,"Xiaomiao Langcheng, Zhongying Venture Capital",,,Funding Round,3,,,,,,,150000000,CNY,20849466,Yes,,https://www.lightstandard.co,,,2,"6,028",
2024-12-26,Hyderitz New Technology is engaged in the R&D and production of high-temperature proton exchange membrane fuel cell technologies.,Hyderitz New Technology,https://www.crunchbase.com/organization/hyderitz-new-technology,"Battery, Energy Storage, Fuel Cell, Manufacturing","Beijing, Beijing, China, Asia",Series A - Hyderitz New Technology,https://www.crunchbase.com/funding_round/hyderitz-new-technology-series-a--d07da220,2,"Beishang Capital, Xingye Hengsheng Capital",Early Stage Venture,Beishang Capital,Series A,3,10000000,CNY,1370182,,,,10000000,CNY,1370182,Yes,,http://www.heracles-tec.com/,,Early Stage Venture,,"6,065",
2024-12-12,Meidong Huicheng is a manufacturer of laboratory automation equipment and consumables.,Meidong Huicheng,https://www.crunchbase.com/organization/meidong-huicheng,"Biopharma, Medical","Nanjing, Jiangsu, China, Asia",Series C - Meidong Huicheng,https://www.crunchbase.com/funding_round/meidong-huicheng-series-c--b26631b2,1,Funway Capital,Late Stage Venture,Funway Capital,Series C,2,,,,,,,,,,Yes,,http://www.mdhc-bio.com/,,Late Stage Venture,,"6,141",
2024-12-11,Hua-Ao provides automotive integrated service.,Hua-Ao,https://www.crunchbase.com/organization/hua-ao,"Automotive, Retail, Service Industry","Beijing, Beijing, China, Asia",Series A - Hua-Ao,https://www.crunchbase.com/funding_round/hua-ao-series-a--d353dfe1,1,Infore Group,Early Stage Venture,Infore Group,Series A,2,,,,,,,3000000,CNY,436931,Yes,,https://www.anxinche.com/,,Early Stage Venture,,"6,255",
2024-12-23,Supreium focuses on the research and application of computer-aided engineering and intelligent industrial design.,Supreium,https://www.crunchbase.com/organization/supreium,"Cloud Computing, Industrial Design, Industrial Engineering","Haidian, Beijing, China, Asia",Series B - Supreium,https://www.crunchbase.com/funding_round/supreium-series-b--fc55511d,2,"Bridge Capital China, Shenzhen Capital Group",Early Stage Venture,,Series B,3,,,,,,,100000000,CNY,14956178,Yes,,https://www.supreium.com/,,Early Stage Venture,,"6,310",
2024-12-02,Qihe Biotech develops novel genome editing technologies with an emphasis on making them autonomous and programmable.,Qihe Biotech,https://www.crunchbase.com/organization/qihe-biotech-896c,"AgTech, Biotechnology, Genetics","Suzhou, Jiangsu, China, Asia",Series A - Qihe Biotech,https://www.crunchbase.com/funding_round/qihe-biotech-896c-series-a--baddf8e8,5,"Beijing Changping Technology Innodevelop Group, Beijing Medical and Health Industry Investment Fund, CD Capital, Mingzhe Asset Management, Shunxi Fund",Early Stage Venture,Beijing Medical and Health Industry Investment Fund,Series A,3,200000000,CNY,27503885,,,,400000000,CNY,57759059,Yes,,http://www.qi-biodesign.com,,Early Stage Venture,,"6,643",
