Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2017-04-01,Showplan is a provider of commercial animation video and animation customization service.,Showplan,https://www.crunchbase.com/organization/showplan,"Animation, Video, Video Advertising","Jiangyin, Jiangsu, China, Asia",Series A - Showplan,https://www.crunchbase.com/funding_round/showplan-series-a--05029862,1,56.com,Early Stage Venture,56.com,Series A,2,10000000,CNY,1451442,,,,13000000,CNY,1936427,Yes,,http://www.showplan.cn,,Early Stage Venture,,"304,085"
2017-04-05,ConductorVR is a professional content providing company.,ConductorVR,https://www.crunchbase.com/organization/conductorvr,"Apps, Content, Virtual Reality","Xiamen, Fujian, China, Asia",Series A - ConductorVR,https://www.crunchbase.com/funding_round/conductorvr-series-a--0e75458b,1,Richlink Capital,Early Stage Venture,Richlink Capital,Series A,3,10000000,CNY,1450453,,,,4934923,USD,4934923,Yes,,http://www.zhjvr.com/,,Early Stage Venture,,"304,157"
2017-06-06,Electric vehicle sharing platform.,Yibuyongche,https://www.crunchbase.com/organization/yibuyongche,"Automotive, Car Sharing, Electric Vehicle, Logistics, Mobile Apps","Zhengzhou, Henan, China, Asia",Series A - Yibuyongche,https://www.crunchbase.com/funding_round/yibuyongche-series-a--8f240aad,1,DFD,Early Stage Venture,DFD,Series A,1,135000000,CNY,19863267,,,,135000000,CNY,19863267,Yes,,,,Early Stage Venture,,"298,300"
2017-06-22,"China Enterprise Strategy Consultants provides investment management, investment consulting and asset allocation solutions.",China Enterprise Strategy Consultants,https://www.crunchbase.com/organization/china-enterprise-strategy-consultants,"Asset Management, Consulting, Financial Services","Haidian, Beijing, China, Asia",Series B - China Enterprise Strategy Consultants,https://www.crunchbase.com/funding_round/china-enterprise-strategy-consultants-series-b--bf96c043,1,Hengtian Real Estate,Early Stage Venture,Hengtian Real Estate,Series B,3,20000000,CNY,2926265,,,,30000000,CNY,4536602,Yes,,http://zhqye.com/,,Early Stage Venture,,"294,074"
2017-06-06,Flightparts is an aircraft component MRO service provider company.,Flightparts,https://www.crunchbase.com/organization/flightparts,"Aerospace, Automotive, Mechanical Engineering","Xiamen, Fujian, China, Asia",Series A - Flightparts,https://www.crunchbase.com/funding_round/flightparts-series-a--39bb078b,1,Angel Plus China,Early Stage Venture,Angel Plus China,Series A,1,10000000,CNY,1471353,,,,10000000,CNY,1471353,Yes,,https://www.flightparts.com/,$1M to $10M,Early Stage Venture,,"304,305"
2017-05-23,Kahui provides credit card application and management services.,Kahui,https://www.crunchbase.com/organization/kahui,"Credit Cards, Financial Services","Beijing, Beijing, China, Asia",Angel Round - Kahui,https://www.crunchbase.com/funding_round/kahui-angel--a733a506,1,Fengshi Investment Management,Seed,Fengshi Investment Management,Angel,1,3000000,CNY,435292,,,,3000000,CNY,435292,Yes,,http://www.51kahui.com/,,Seed,,"304,454"
2017-04-10,Sendoh Sushi is a sushi restaurant chain brand in China.,Sendoh Sushi,https://www.crunchbase.com/organization/sendoh-sushi,"Food and Beverage, Food Processing, Restaurants","Nanjing, Jiangsu, China, Asia",Angel Round - Sendoh Sushi,https://www.crunchbase.com/funding_round/sendoh-sushi-angel--b36d233e,1,ShareLink Capital,Seed,ShareLink Capital,Angel,1,3000000,CNY,434550,,,,3000000,CNY,434550,Yes,,http://sendos.cn/,,Seed,,"304,993"
2017-06-06,Miaoxing Keji is an IoT security provider.,Miaoxing Keji,https://www.crunchbase.com/organization/miaoxing-keji,"Automotive, Hardware, Real Time","Nanjing, Jiangsu, China, Asia",Series B - Miaoxing Keji,https://www.crunchbase.com/funding_round/miaoxing-keji-series-b--148b9df1,1,51 Anju,Early Stage Venture,51 Anju,Series B,4,20000000,CNY,2942706,,,,36000000,CNY,5484347,Yes,,http://www.mplanet.cn,,Early Stage Venture,,"305,016"
2017-05-08,Ophyer provides interactive content marketing services for entertainment and consumer sectors.,Ophyer,https://www.crunchbase.com/organization/ophyer,"Advertising, Consumer, Content Marketing, Media and Entertainment, Metaverse","Beijing, Beijing, China, Asia",Angel Round - Ophyer,https://www.crunchbase.com/funding_round/ophyer-angel--d1e87784,1,Tsing Ventures,Seed,Tsing Ventures,Angel,1,3000000,CNY,434504,,,,3000000,CNY,434504,Yes,,https://www.ophyer.com,,IPO,,"305,252"
2017-04-28,Ruiguan specializes in factory automation equipment manufacturing in the textile industry.,RUIGUAN,https://www.crunchbase.com/organization/ruiguan,"Industrial, Manufacturing, Textiles","Yuhang, Zhejiang, China, Asia",Series A - RUIGUAN,https://www.crunchbase.com/funding_round/ruiguan-series-a--32ec6438,1,Fibonacci VC,Early Stage Venture,Fibonacci VC,Series A,1,10000000,CNY,1450432,,,,10000000,CNY,1450432,Yes,,http://www.hzrg.com.cn/,,Early Stage Venture,,"294,258"
2017-03-31,Guangzhou Wenwen is a domestic learning platform for online education of chain restaurants.,Guangzhou Wenwen,https://www.crunchbase.com/organization/liansuo-daxuetang,"E-Learning, Education, Restaurants","Guangzhou Shi, Guangdong, China, Asia",Series A - Guangzhou Wenwen,https://www.crunchbase.com/funding_round/liansuo-daxuetang-series-a--90c6bf6e,1,Zefu Ziben,Early Stage Venture,Zefu Ziben,Series A,2,10000000,CNY,1451442,,,,13000000,CNY,1901171,Yes,,http://www.wenwentech.com/,,Early Stage Venture,,"294,289"
2017-05-17,Hongque is a hotel revenue management service platform.,Hongque,https://www.crunchbase.com/organization/hongque,"Consulting, Software, Training","Minhang, Shanghai, China, Asia",Series A - Hongque,https://www.crunchbase.com/funding_round/hongque-series-a--1e3bda4b,1,Galaxy Internet,Early Stage Venture,Galaxy Internet,Series A,2,10000000,CNY,1453235,,,,13000000,CNY,1909233,Yes,,http://www.hqrms.com/,,Early Stage Venture,,"316,056"
2017-05-12,Bagepanzi is a mobile-enabled private kitchen service platform.,Bagepanzi,https://www.crunchbase.com/organization/bagepanzi,"Cooking, Mobile, Restaurants","Nanjing, Jiangsu, China, Asia",Angel Round - Bagepanzi,https://www.crunchbase.com/funding_round/bagepanzi-angel--4114778e,1,Qianhai Huarui Investment Management,Seed,Qianhai Huarui Investment Management,Angel,1,3000000,CNY,434852,,,,3000000,CNY,434852,Yes,,http://www.bagepanzi.com,,Seed,,"316,205"
2017-06-08,Coming Space is an apartment rental start-up focused on young professionals.,Coming Space,https://www.crunchbase.com/organization/coming-space,"Housekeeping Service, Rental, Rental Property","Nanjing, Jiangsu, China, Asia",Series B - Coming Space,https://www.crunchbase.com/funding_round/coming-space-series-b--5ff67fcc,1,Neoglory,Early Stage Venture,Neoglory,Series B,1,29000000,USD,29000000,,,,29000000,USD,29000000,Yes,,http://www.vlychina.com,,Early Stage Venture,,"316,212"
2017-06-13,A Shanghai-based TV and online drama production house.,XG Entertainment,https://www.crunchbase.com/organization/xg-entertainment,"Media and Entertainment, TV, TV Production","Shanghai, Shanghai, China, Asia",Series B - XG Entertainment,https://www.crunchbase.com/funding_round/xg-entertainment-series-b--f9de134f,1,CICC,Early Stage Venture,CICC,Series B,2,500000000,CNY,73555372,,,,830000000,CNY,123715154,Yes,,http://xgentertainment.com/phone/,,Early Stage Venture,,"298,392"
2017-05-31,Diandian Tech is an O2O smart catering platform focused on the development and service of catering mobile internet.,Diandian Tech,https://www.crunchbase.com/organization/diandian-tech,"Catering, Internet, Mobile","Baoan, Guangdong, China, Asia",Series B - Diandian Tech,https://www.crunchbase.com/funding_round/diandian-tech-series-b--c3affdc8,1,Shenzhen Lechuang Chuangye,Early Stage Venture,Shenzhen Lechuang Chuangye,Series B,3,20000000,CNY,2936383,,,,33000000,CNY,4915819,Yes,,http://www.diandian-tech.com/,,Early Stage Venture,,"298,443"
2017-06-09,Seagoor provides eCommerce and supply chain management services.,Seagoor,https://www.crunchbase.com/organization/seagoor,"E-Commerce, Logistics, Supply Chain Management","Hangzhou, Zhejiang, China, Asia",Series A - Seagoor,https://www.crunchbase.com/funding_round/seagoor-series-a--229f04ac,1,Gang Wang,Early Stage Venture,Gang Wang,Series A,2,60000000,CNY,8824892,,,,80000000,CNY,11898637,Yes,,http://www.seagoor.com,,Early Stage Venture,,"316,263"
2017-06-08,"Fanxing Zhongwenwang is a literature network platform that focuses on historical fiction, suspense novels, other content related sectors",Fanxing Zhongwenwang,https://www.crunchbase.com/organization/fanxing-zhongwenwang,"Content, Digital Entertainment, Social Network","Hangzhou, Zhejiang, China, Asia",Series A - Fanxing Zhongwenwang,https://www.crunchbase.com/funding_round/fanxing-zhongwenwang-series-a--97274a22,1,Yuangu Investment Consulting,Early Stage Venture,Yuangu Investment Consulting,Series A,2,10000000,CNY,1471446,,,,13000000,CNY,1941365,Yes,,https://www.fanxingzw.com,,Early Stage Venture,,"316,601"
2017-05-08,Tenbon focuses on the development and application in wireless sensor technology.,Tenbon,https://www.crunchbase.com/organization/tenbon,"Information Technology, Sensor, Wireless","Suzhou, Jiangsu, China, Asia",Series A - Tenbon,https://www.crunchbase.com/funding_round/tenbon-series-a--031d142b,1,Delta Link Capital,Early Stage Venture,Delta Link Capital,Series A,2,10000000,CNY,1448348,,,,13000000,CNY,1939203,Yes,,http://www.tenbon.com,,Early Stage Venture,,"298,675"
2017-04-06,MingThink is an IT company for education industries.,MingThink,https://www.crunchbase.com/organization/mingthink,"Education, Information Technology","Nanchangshi, Jiangxi, China, Asia",Angel Round - MingThink,https://www.crunchbase.com/funding_round/mingthink-angel--0e7c5372,1,Huasheng Yihong Investment Management,Seed,Huasheng Yihong Investment Management,Angel,1,3000000,CNY,434928,,,,3000000,CNY,434928,Yes,,http://www.mingthink.com/,,Seed,,"305,461"
2017-06-13,Yihao Guan is a primary medical comprehensive service platform.,Yihao Guan,https://www.crunchbase.com/organization/yihao-guan,"Health Care, Information Services, Medical Device","Shenzhen, Guangdong, China, Asia",Funding Round - Yihao Guan,https://www.crunchbase.com/funding_round/yihao-guan-undisclosed--330a1770,1,Cybernaut Venture Capital,,Cybernaut Venture Capital,Funding Round,2,10000000,USD,10000000,,,,17632656,USD,17632656,Yes,,http://www.yhgcloud.com/,,,,"299,430"
2017-06-22,Renrenyoupin is an e-commerce platform for any retail product.,Renrenyoupin,https://www.crunchbase.com/organization/renrenyoupin,"Beauty, E-Commerce, Retail","Shenzhen, Guangdong, China, Asia",Series A - Renrenyoupin,https://www.crunchbase.com/funding_round/renrenyoupin-series-a--db63dbcb,1,Qunanda Zichan,Early Stage Venture,Qunanda Zichan,Series A,2,10000000,CNY,1463133,,,,13000000,CNY,1933411,Yes,,http://www.renrenyoupin.com,,Early Stage Venture,,"305,590"
2017-06-05,"Dongpeng Teyin is an R&D, selling, and manufacturing beverage brand.",Dongpeng Teyin,https://www.crunchbase.com/organization/dongpeng-teyin,"Food and Beverage, Manufacturing, Sales","Shenzhen, Guangdong, China, Asia",Series A - Dongpeng Teyin,https://www.crunchbase.com/funding_round/dongpeng-teyin-series-a--c6f1d18d,1,Harvest Capital,Early Stage Venture,Harvest Capital,Series A,1,350000000,CNY,51443943,,,,350000000,CNY,51443943,Yes,,https://www.szeastroc.com/,,Early Stage Venture,,"299,602"
2017-04-26,Big Bang Games is an overseas mobile game publishers.,Big Bang Games,https://www.crunchbase.com/organization/big-bang-games,"Gaming, Media and Entertainment, Mobile","Chengdu, Sichuan, China, Asia",Series A - Big Bang Games,https://www.crunchbase.com/funding_round/big-bang-games-series-a--395da7c4,1,Baotuan Venture,Early Stage Venture,Baotuan Venture,Series A,2,10000000,CNY,1450852,,,,13000000,CNY,1940759,Yes,,http://www.big-bang-games.com/,,Early Stage Venture,,"294,544"
2017-04-21,Baiyi Dongman is a cartoon animation production company.,Baiyi Dongman,https://www.crunchbase.com/organization/baiyi-dongman,"Animation, Digital Entertainment, Graphic Design","Panyu, Guangdong, China, Asia",Series C - Baiyi Dongman,https://www.crunchbase.com/funding_round/baiyi-dongman-series-c--e53f60e2,1,"Nanjing Haoju Xinxi Keji Co., Ltd.",Late Stage Venture,"Nanjing Haoju Xinxi Keji Co., Ltd.",Series C,3,30000000,CNY,4357488,,,,60000000,CNY,9128625,Yes,,http://www.baiyidm.com,,Late Stage Venture,,"294,582"
2017-03-31,UnitedMoney is a currency exchange service platform.,UnitedMoney,https://www.crunchbase.com/organization/unitedmoney,"Financial Exchanges, Financial Services, Online Portals","Fengtai, Beijing, China, Asia",Series B - UnitedMoney,https://www.crunchbase.com/funding_round/unitedmoney-series-b--5a172d3d,1,Hongda Ziben,Early Stage Venture,Hongda Ziben,Series B,4,30190000,CNY,4381903,,,,205190000,CNY,31871424,Yes,,https://www.unitedmoney.com/,,IPO,,"299,731"
2017-04-24,China Automotive Battery Research Institute is a developer of automotive power batteries.,China Automotive Battery Research Institute,https://www.crunchbase.com/organization/china-automotive-battery-research-institute,"Automotive, Battery, Electronics","Beijing, Beijing, China, Asia",Series A - China Automotive Battery Research Institute,https://www.crunchbase.com/funding_round/china-automotive-battery-research-institute-series-a--e66c2816,1,Zhengzhou Yutong Bus,Early Stage Venture,Zhengzhou Yutong Bus,Series A,2,10000000,CNY,1452534,,,,13000000,CNY,1901544,Yes,,http://www.glabat.com/,,Early Stage Venture,,"306,401"
2017-03-27,Shenhei Keji provides solid and reliable photo editing services for the photography industry.,Shenhei Keji,https://www.crunchbase.com/organization/shenhei-keji,"Photo Editing, Software","Changshahsien, Hunan, China, Asia",Seed Round - Shenhei Keji,https://www.crunchbase.com/funding_round/shenhei-keji-seed--2a4340cb,1,Plug and Play China,Seed,Plug and Play China,Seed,1,300000,CNY,43659,,,,300000,CNY,43659,Yes,,http://www.deepblack.cc/,,Seed,,"306,898"
2017-06-05,Thindo Technology is a technology-based company that provides cutting-edge technical services for the outdoor sports travel industry.,Thindo Technology,https://www.crunchbase.com/organization/thindo-technology,"Information Technology, Service Industry, Sports","Shenzhen, Guangdong, China, Asia",Series A - Thindo Technology,https://www.crunchbase.com/funding_round/thindo-technology-series-a--8194bc51,1,Donglin Ziben,Early Stage Venture,Donglin Ziben,Series A,2,10000000,CNY,1469827,,,,13000000,CNY,1904642,Yes,,http://shangdaotec.com,,Early Stage Venture,,"306,914"
2017-05-19,Video Medical Cloud is a collaborative cloud platform.,Video Medical Cloud,https://www.crunchbase.com/organization/video-medical-cloud,"Education, Health Care, Medical","Beijing, Beijing, China, Asia",Series A - Video Medical Cloud,https://www.crunchbase.com/funding_round/video-medical-cloud-series-a--d05781b2,1,Yonghua Capital,Early Stage Venture,Yonghua Capital,Series A,1,20000000,CNY,2905098,,,,20000000,CNY,2905098,Yes,,http://www.arkenvmc.com/,,Early Stage Venture,,"300,476"
2017-03-30,Baiqishi helps to provide big data risk control.,Baiqishi,https://www.crunchbase.com/organization/baiqishi,"Analytics, Big Data, Software","Shenzhen, Guangdong, China, Asia",Series A - Baiqishi,https://www.crunchbase.com/funding_round/baiqishi-series-a--d583e3c6,1,CDF-Capital,Early Stage Venture,CDF-Capital,Series A,2,10000000,CNY,1451621,,,,10000000,CNY,1451621,Yes,,https://www.baiqishi.com,$1M to $10M,Early Stage Venture,,"300,894"
2017-04-10,RiskRaider Fengxian Leida provides risk management service for enterprise credit based on artificial intelligence and big data.,RiskRaider Fengxian Leida,https://www.crunchbase.com/organization/riskraider-fengxian-leida,"Artificial Intelligence (AI), Enterprise, FinTech, Risk Management","Shanghai, Shanghai, China, Asia",Series A - RiskRaider Fengxian Leida,https://www.crunchbase.com/funding_round/riskraider-fengxian-leida-series-a--da7c961f,1,Oriental Fortune Capital,Early Stage Venture,Oriental Fortune Capital,Series A,3,20000000,CNY,2896997,,,,24000000,CNY,3522698,Yes,,http://www.riskraider.com/,,Early Stage Venture,,"297,665"
2017-05-23,RUISOFT is creating health care big data platform and applications for hospitals.,RUISOFT,https://www.crunchbase.com/organization/ruisoft,"Health Care, Health Diagnostics, Information Technology, Medical","Beijing, Beijing, China, Asia",Venture Round - RUISOFT,https://www.crunchbase.com/funding_round/ruisoft-series-unknown--5d7efb40,1,BONC,,BONC,Venture - Series Unknown,1,30000000,CNY,4352918,,,,30000000,CNY,4352918,Yes,,http://www.ruisoft.com/,,,,"294,752"
2017-04-14,Luhui is a shopping discount information platform for travelers.,Luhui,https://www.crunchbase.com/organization/luhui,"Consumer, Shopping, Travel","Xuhui, Shanghai, China, Asia",Series A - Luhui,https://www.crunchbase.com/funding_round/luhui-series-a--93f05e11,1,Qianying Ziben,Early Stage Venture,Qianying Ziben,Series A,2,10000000,CNY,1451863,,,,13000000,CNY,1907941,Yes,,https://yoffcode.com/,,Early Stage Venture,,"297,781"
2017-03-30,Xfdsx.com is a B2C marketplace that provides fresh produce agricultural products.,Xfdsx.com,https://www.crunchbase.com/organization/xfdsx-com,"Agriculture, B2B, B2C","Fengtai, Beijing, China, Asia",Series A - Xfdsx.com,https://www.crunchbase.com/funding_round/xfdsx-com-series-a--02883cc0,1,BECC,Early Stage Venture,BECC,Series A,2,20000000,CNY,2903242,,,,23000000,CNY,3334648,Yes,,http://www.xfdsx.com,,Early Stage Venture,,"295,051"
2017-05-17,PEPCO Kids is a brand of children's apparel products.,PEPCO Kids,https://www.crunchbase.com/organization/pepco-kids,"Apparel, Children, Consumer Goods, E-Commerce, Fashion","Zhangmutou, Guangdong, China, Asia",Series A - PEPCO Kids,https://www.crunchbase.com/funding_round/pepco-kids-series-a--6bd58e34,1,Lefu Fangdichan Kaifa,Early Stage Venture,Lefu Fangdichan Kaifa,Series A,2,10000000,CNY,1453235,,,,13000000,CNY,1906309,Yes,,http://www.pepco.com.cn/,,Early Stage Venture,,"295,088"
2017-04-10,Alading Bank is a Chinese Online Lending Firm,Alading Bank,https://www.crunchbase.com/organization/alading-bank,"Banking, Financial Services, FinTech, Internet","Shanghai, Shanghai, China, Asia",Series A - Alading Bank,https://www.crunchbase.com/funding_round/alading-bank-series-a--11b0357d,1,Matrix Partners China,Early Stage Venture,Matrix Partners China,Series A,1,,,,,,,,,,Yes,,http://www.aladingbank.com/,,Early Stage Venture,,"298,025"
2017-04-28,"Rhinos Interactive is a web game, music, and dance game development company.",Rhinos Interactive,https://www.crunchbase.com/organization/rhinos-interactive,"Gaming, Media and Entertainment, Mobile, Music","Jingan, Shanghai, China, Asia",Series B - Rhinos Interactive,https://www.crunchbase.com/funding_round/rhinos-interactive-series-b--3b673795,1,Jiante Shengming Keji,Early Stage Venture,Jiante Shengming Keji,Series B,3,20000000,CNY,2900863,,,,33000000,CNY,4909111,Yes,,http://www.xnhd.com/,,Early Stage Venture,,"298,835"
2017-04-21,Hao Tingche is a parking lot asset value-added company.,Hao Tingche,https://www.crunchbase.com/organization/hao-tingche,"Automotive, Parking","Haidian, Beijing, China, Asia",Series A - Hao Tingche,https://www.crunchbase.com/funding_round/hao-tingche-series-a--224d4753,1,Hongkun Yirun Investment,Early Stage Venture,Hongkun Yirun Investment,Series A,4,10000000,CNY,1452496,,,,72900000,CNY,11036096,Yes,,http://www.haotingche.net,,Early Stage Venture,,"299,040"
2017-05-11,Target Social is a comprehensive internet innovation technology company focusing on mobile internet data monitoring and effect improvement.,Target Social,https://www.crunchbase.com/organization/target-social,"Business Information Systems, Internet, Mobile","Xuhui, Shanghai, China, Asia",Series A - Target Social,https://www.crunchbase.com/funding_round/target-social-series-a--b08d6f2f,1,Lan Fund,Early Stage Venture,Lan Fund,Series A,1,10000000,CNY,1448346,,,,10000000,CNY,1448346,Yes,,http://www.tarsocial.com/,,Early Stage Venture,,"295,364"
2017-04-17,VBU provides solutions through intelligent marketing on the internet.,VBU,https://www.crunchbase.com/organization/vbu,"Big Data, Internet, Marketing","Beijing, Beijing, China, Asia",Series A - VBU,https://www.crunchbase.com/funding_round/vbu-series-a--68ed0de9,1,Realeader Capital,Early Stage Venture,Realeader Capital,Series A,2,21000000,CNY,3056839,,,,29000000,CNY,4208797,Yes,,http://vbu.cn/,,Early Stage Venture,,"295,487"
2017-04-10,Strait Human Resources is a talent service agency that provides human resources support for the promotion of development and transcendence.,Strait Human Resources,https://www.crunchbase.com/organization/strait-human-resources,"Consulting, Human Resources, Recruiting","Foochow, Fujian, China, Asia",Post-IPO Equity - Strait Human Resources,https://www.crunchbase.com/funding_round/strait-human-resources-post-ipo-equity--f855e5aa,1,Fujian Sheng Chuangxin Touzi,,Fujian Sheng Chuangxin Touzi,Post-IPO Equity,2,2150000,CNY,311427,,,,5150000,CNY,774662,Yes,,http://125.77.112.157:81,,IPO,,"295,525"
2017-06-13,GO is a cross-border e-commerce platform for food products.,Zhejiang Pingo Network Technology,https://www.crunchbase.com/organization/go-8dfc,"E-Commerce, Food and Beverage, Snack Food","Wenzhou, Zhejiang, China, Asia",Series A - Zhejiang Pingo Network Technology,https://www.crunchbase.com/funding_round/go-8dfc-series-a--15877f27,1,Violet Home Textile Technology,Early Stage Venture,Violet Home Textile Technology,Series A,1,20000000,CNY,2942215,,,,20000000,CNY,2942215,Yes,,http://www.changgougo.com/,,Early Stage Venture,,"295,668"
