Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2017-11-14,Cygnus Biosciences is a Chinese gene sequencing company.,Cygnus Biosciences,https://www.crunchbase.com/organization/cygnus-biosciences,"Biotechnology, Clinical Trials, Health Diagnostics, Pharmaceutical, Therapeutics","Changping, Beijing, China, Asia",Series B - Cygnus Biosciences,https://www.crunchbase.com/funding_round/cygnus-biosciences-series-b--e9d0edc6,6,"General Technology Venture Capital, Jinggong Hongyuan, Lapam Capital, Prox Ventures, Shanghai Creation Investment, ZGC Group",Early Stage Venture,"Shanghai Creation Investment, ZGC Group",Series B,4,19600000,USD,19600000,,,,49176173,USD,49176173,Yes,,http://www.cygnusbio.com/,,Late Stage Venture,3,"48,335"
2017-09-25,Kuaidian Yuedu offers a story reading app.,Kuaidian Yuedu,https://www.crunchbase.com/organization/kuaidian-yuedu,"Apps, Reading Apps, Web Apps","Beijing, Beijing, China, Asia",Series A - Kuaidian Yuedu,https://www.crunchbase.com/funding_round/kuaidian-yuedu-series-a--e224ab1a,4,"5Y Capital, Blue Lake Capital, GGV Capital, Morningside",Early Stage Venture,"Blue Lake Capital, GGV Capital, Morningside",Series A,4,5000000,USD,5000000,,,,147084000,USD,147084000,Yes,,https://www.kuaidianyuedu.com/,$1M to $10M,Late Stage Venture,2,"57,822"
2017-10-18,CassTime is an auto parts e-commerce platform that provides logistical and supply chain finance services.,CassTime,https://www.crunchbase.com/organization/casstime,"Automotive, E-Commerce, Logistics, SaaS, Transportation","Shenzhen, Guangdong, China, Asia",Series B - CassTime,https://www.crunchbase.com/funding_round/casstime-series-b--8d9fb2fd,3,"Fosun RZ Capital, Huaye Tiancheng Capital, Shunwei Capital",Early Stage Venture,Fosun RZ Capital,Series B,9,22700000,USD,22700000,,,,287833290,USD,287833290,Yes,,http://www.casstime.com/#page4,$1M to $10M,Late Stage Venture,,"70,360"
2017-11-21,Candela is a robotic hardware and software design company.,Candela,https://www.crunchbase.com/organization/candela-5185,"Hardware, Robotics, Software","Shenzhen, Guangdong, China, Asia",Series A - Candela,https://www.crunchbase.com/funding_round/candela-5185-series-a--7b3e6327,1,Mingde Zhiyuan Touzi,Early Stage Venture,Mingde Zhiyuan Touzi,Series A,4,10000000,CNY,1508531,,,,33000000,CNY,4891334,Yes,,https://www.ctirobot.com/,,,,"87,898"
2017-10-27,Hsmap is a medical innovation and entrepreneurship big data platform.,Hsmap,https://www.crunchbase.com/organization/hsmap,Health Care,"Hangzhou, Zhejiang, China, Asia",Seed Round - Hsmap,https://www.crunchbase.com/funding_round/hsmap-seed--ee9decf5,3,"Hangzhou Wangmei Investments, Hg, Shulan Health",Seed,Hg,Seed,3,4500000,USD,4500000,,,,19320743,USD,19320743,Yes,,http://www.hsmap.com,$10M to $50M,Early Stage Venture,,"120,362"
2017-11-20,Quanwu Youpin is the furniture e-commerce platform.,Quanwu Youpin,https://www.crunchbase.com/organization/quanwu-youpin,"E-Commerce, Furniture","Shenzhen, Guangdong, China, Asia",Series A - Quanwu Youpin,https://www.crunchbase.com/funding_round/quanwu-youpin-series-a--26072b1c,2,"K2VC, Oriental Fortune Capital",Early Stage Venture,K2VC,Series A,3,30000000,CNY,4522295,,,,130000000,CNY,18533195,Yes,,https://www.quanwuyoupin.com/,,Early Stage Venture,,"123,981"
2017-11-16,Zhixin Technology is a developer of chips designed for biometrics.,FINGER CRYSTAL,https://www.crunchbase.com/organization/finger-crystal,"Biometrics, Hardware, Security","Shenzhen, Guangdong, China, Asia",Series B - FINGER CRYSTAL,https://www.crunchbase.com/funding_round/finger-crystal-series-b--e2c72616,1,Daoju Touzi,Early Stage Venture,Daoju Touzi,Series B,4,20000000,CNY,3017194,,,,33000000,CNY,4953858,Yes,,http://www.fingercrystal.com/,,Late Stage Venture,,"131,671"
2017-11-30,"Aibee is an AI startup that develops speech recognition, big data analysis, and natural language processing technologies.",Aibee,https://www.crunchbase.com/organization/alibee,"Artificial Intelligence (AI), Big Data, Natural Language Processing, Robotics, Speech Recognition","Beijing, Beijing, China, Asia",Seed Round - Aibee,https://www.crunchbase.com/funding_round/alibee-seed--7b63c995,1,ZhenFund,Seed,ZhenFund,Seed,7,25000000,CNY,3780976,,,,273485780,USD,273485780,Yes,,https://aibee.com,$1M to $10M,,,"132,056"
2017-12-01,3N TECH is a manufacturer of contact lenses cleaner.,3N TECH,https://www.crunchbase.com/organization/3n-tech,"Eyewear, Hardware, Health Care, Manufacturing","Suzhou, Jiangsu, China, Asia",Angel Round - 3N TECH,https://www.crunchbase.com/funding_round/3n-tech-angel--229595c0,1,Tongxing Caifu,Seed,Tongxing Caifu,Angel,3,3000000,CNY,453580,,,,103000000,CNY,15811732,Yes,,http://www.3nbio.com/,,Early Stage Venture,,"132,530"
2017-09-25,"Xingshen Zhineng engages in the AI field for providing unmanned driving-related technology, products and solutions.",Xingshen Zhineng,https://www.crunchbase.com/organization/xingshen-zhineng,"Artificial Intelligence (AI), Autonomous Vehicles, Machine Learning, Robotics, Software","Changshahsien, Hunan, China, Asia",Angel Round - Xingshen Zhineng,https://www.crunchbase.com/funding_round/xingshen-zhineng-angel--9c37f142,2,"Huirong Deyun Investment, JD.com",Seed,,Angel,4,20000000,CNY,3020555,,,,130000000,CNY,19787431,Yes,,http://www.xingshentech.com,,Early Stage Venture,,"147,288"
2017-09-30,Zihuangbao is an online and offline fast food and beverage brand that provides catering services.,Zihuangbao,https://www.crunchbase.com/organization/zihuangbao,"Catering, Consumer Goods, Food and Beverage","Beijing, Beijing, China, Asia",Series A - Zihuangbao,https://www.crunchbase.com/funding_round/zihuangbao-series-a--9c4f6d86,2,"Hony Capital, Wonderful Dawn Holdings Limited",Early Stage Venture,,Series A,3,20000000,CNY,3005304,,,,5504100,USD,5504100,Yes,,http://www.zaihuangbao.com/,Less than $1M,Early Stage Venture,,"164,726"
2017-10-01,Jacobio Pharmaceuticals is a clinical-stage pharmaceutical company focusing on the development of innovative oncology and other therapies.,Jacobio Pharmaceuticals,https://www.crunchbase.com/organization/jacobio-pharmaceuticals,"Biotechnology, Health Care, Oncology, Pharmaceutical","Beijing, Beijing, China, Asia",Venture Round - Jacobio Pharmaceuticals,https://www.crunchbase.com/funding_round/jacobio-pharmaceuticals-series-unknown--6a89cdc3,1,Qiming Venture Partners,,,Venture - Series Unknown,6,130200000,CNY,19552817,,,,101552817,USD,101552817,Yes,,http://en.jacobiopharma.com/nav/9.html,$1M to $10M,,1,"164,806"
2017-12-13,Putian Cool Drink is a plum wine brand.,Putian Cool Drink,https://www.crunchbase.com/organization/putian-cool-drink,"Food and Beverage, Wine And Spirits","Beijing, Beijing, China, Asia",Seed Round - Putian Cool Drink,https://www.crunchbase.com/funding_round/putian-cool-drink-seed--d93c7cae,1,Qianshu Capital,Seed,,Seed,4,,,,,,,3016000,USD,3016000,Yes,,http://www.putiancooldrink.com/,,Early Stage Venture,,"169,296"
2017-11-15,A Shanghai-based Internet company.,New Core Technology (Xinyunhe),https://www.crunchbase.com/organization/new-core-technology-xinyunhe,"Enterprise, Internet, Mobile","Shanghai, Shanghai, China, Asia",Series A - New Core Technology (Xinyunhe),https://www.crunchbase.com/funding_round/new-core-technology-xinyunhe-series-a--ea6c68be,1,Northern Light Venture Capital,Early Stage Venture,Northern Light Venture Capital,Series A,4,3000000,USD,3000000,,,,3000000,USD,3000000,Yes,,https://www.xinheyun.com,,Late Stage Venture,,"171,224"
2017-11-22,3D Medicines mission is to improve people’s health through cancer personalized diagnostics and treatment.,3D Medicines,https://www.crunchbase.com/organization/3d-medicines,"Biopharma, Biotechnology, Health Care, Pharmaceutical","Minhang, Shanghai, China, Asia",Venture Round - 3D Medicines,https://www.crunchbase.com/funding_round/3d-medicines-series-unknown--76f70b09,2,"China Equity, China Reform Fund Management",,China Reform Fund Management,Venture - Series Unknown,5,670000000,CNY,101326684,,,,505941268,USD,505941268,Yes,,http://www.3dmedcare.com,$500M to $1B,IPO,,"172,003"
2017-12-15,Xiaopeng Motors is an electric vehicle and technology company that designs and manufactures intelligent mobility solutions.,Xpeng Motors,https://www.crunchbase.com/organization/xiaopeng-motors,"Automotive, Autonomous Vehicles, Electric Vehicle, Manufacturing","Guangzhou, Guangdong, China, Asia",Series A - Xpeng Motors,https://www.crunchbase.com/funding_round/xiaopeng-motors-series-a--74dfc280,13,"Alibaba Group, EBZY Capital, Fosun RZ Capital, GGV Capital, IDG Capital, Kinzon Capital, Lightspeed Venture Partners, Matrix Partners China, Morningside Venture Partners, Shunwei Capital, Welight Capital, Xiaopeng He, Xin Ding Capital",Early Stage Venture,"Alibaba Group, GGV Capital, Matrix Partners China",Series A,11,,,,,,,6408970886,USD,6408970886,Yes,,https://www.xiaopeng.com,$1B to $10B,IPO,1,"188,970"
