Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round),Sentiment
2024-09-20,Hong Jing Drive provides a computing platform for autonomous driving vehicles.,Hong Jing Drive,https://www.crunchbase.com/organization/hong-jing-drive,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles","Hangzhou, Zhejiang, China, Asia",Series C - Hong Jing Drive,https://www.crunchbase.com/funding_round/hong-jing-drive-series-c--755d2fdd,4,"Prosperity7 Ventures, Quzhou Zhisheng Industrial Investment,, Walden International, Zhongtai Renhe Fund",Late Stage Venture,,Series C,10,,,,,,,50118278,USD,50118278,Yes,,http://www.hongjingdrive.com/,,Late Stage Venture,2,"1,556",
2024-09-03,Zhixin Haozheng is an inventor of regenerating islet technology.,Zhixin Haozheng,https://www.crunchbase.com/organization/zhixin-haozheng,"Diabetes, Health Care","Suzhou, Jiangsu, China, Asia",Seed Round - Zhixin Haozheng,https://www.crunchbase.com/funding_round/zhixin-haozheng-seed--15351149,3,"Pan-Lin Capital, Zhangjiagang Jintai Jinhong Investment Management, Zhejiang Leo",Seed,,Seed,2,100000000,CNY,14042183,,,,200000000,CNY,27750202,Yes,,http://www.endocell.cn/cn,,Early Stage Venture,,"3,111",
2024-10-17,Sigma Squares Tech is an automated manufacturing system developer.,Sigma Squares Tech,https://www.crunchbase.com/organization/sigma-squares-tech,"Enterprise, Manufacturing","Beijing, Beijing, China, Asia",Series B - Sigma Squares Tech,https://www.crunchbase.com/funding_round/sigma-squares-tech-series-b--cfaa6120,7,"Alwin Capital, Cowin Capital, Entropy One Capital, Hua Capital, Insight Capital, Suzhou Xiangcheng Financial Holding Group, V Fund Management",Early Stage Venture,Cowin Capital,Series B,5,,,,,,,25406009,USD,25406009,Yes,,https://sigmasquares.com/,,Early Stage Venture,6,"3,588",
2024-11-18,Daimeng Robot is dedicated to creating multi-series general-purpose humanoid robot products.,Daimeng Robot,https://www.crunchbase.com/organization/daimeng-robot,"Commercial, Manufacturing, Robotics","Shenzhen, Guangdong, China, Asia",Seed Round - Daimeng Robot,https://www.crunchbase.com/funding_round/daimeng-robot-seed--5d2a23d4,3,"Jinding Capital, Lenovo Capital and Incubator Group (LCIG), Shenzhen Guozhong Venture Capital Management",Seed,Shenzhen Guozhong Venture Capital Management,Seed,2,100000000,CNY,13819026,,,,100000000,CNY,13819026,Yes,,,,Seed,3,"5,842",
2024-06-22,METiS Pharmaceuticals is the world's first AI-driven drug formulation company.,METiS Pharmaceuticals,https://www.crunchbase.com/organization/metis-pharmaceuticals,"Artificial Intelligence (AI), Biopharma, Biotechnology, Medical Device, Pharmaceutical","Hangzhou, Zhejiang, China, Asia",Series C - METiS Pharmaceuticals,https://www.crunchbase.com/funding_round/metis-pharmaceuticals-series-c--55363f06,2,"China Taiping Insurance, CICC Capital",Late Stage Venture,CICC Capital,Series C,4,100000000,USD,100000000,,,,336000000,USD,336000000,Yes,,https://www.metispharmaceuticals.cn,$1M to $10M,Late Stage Venture,,"6,095",
2024-10-21,Xellsmart develops stem cell treatment solutions for a variety of degenerative diseases for which there are now no clinical treatments.,XellSmart,https://www.crunchbase.com/organization/xellsmart,"Biopharma, Biotechnology, Pharmaceutical","Minhang, Shanghai, China, Asia",Series B - XellSmart,https://www.crunchbase.com/funding_round/xellsmart-series-b--6cb2ba9d,14,"Alibaba Health Information Technology, Frees Fund, HSG, Huatai Zijin Investment, Junshan Capital ., Lilly Asia Ventures, Next Capital, Oriza Holdings, Peking University Yuanpei Fund, Qiming Venture Partners, Qisheng Capital, Sino-Singapore Capital, Tailong Investment, Tenyall",Early Stage Venture,Tailong Investment,Series B,4,100000000,CNY,14046917,,,,177000000,CNY,25963101,Yes,,http://www.xellsmart.com,,Early Stage Venture,3,"6,593",
2024-11-11,Bio-Link is a drug development company that offers solutions for the life science industry.,Bio-Link,https://www.crunchbase.com/organization/bio-link,"Biopharma, Biotechnology, Life Science, Pharmaceutical","Shanghai, Shanghai, China, Asia",Venture Round - Bio-Link,https://www.crunchbase.com/funding_round/bio-link-series-unknown--22ffd7e6,6,"Alwin Capital, Cathay Capital, Haihe Kailaiying Industrial Fund, Haiwang Capital, Shenzhen Capital Group, Zoo Capital",,Cathay Capital,Venture - Series Unknown,3,,,,,,,,,,Yes,,https://www.biolink.com.cn,,,1,"7,160",
2024-11-15,Jingyu Sake is a sake brewing provider that specializes on the research and development.,Jingyu Sake,https://www.crunchbase.com/organization/jingyu-sake,"E-Commerce, Food and Beverage, Wine And Spirits","Jiangxi, Fujian, China, Asia",Seed Round - Jingyu Sake,https://www.crunchbase.com/funding_round/jingyu-sake-seed--8aa8539a,1,China Finance Shang,Seed,China Finance Shang,Seed,2,1400000,USD,1400000,,,,2800000,USD,2800000,Yes,,,,Seed,,"7,221",
2024-10-23,MacroLux operates as a medical technology company focusing on endoscopic interventional business.,MacroLux,https://www.crunchbase.com/organization/macrolux,"Health Care, Manufacturing, Medical, Medical Device","Shenzhen, Guangdong, China, Asia",Series B - MacroLux,https://www.crunchbase.com/funding_round/macrolux-series-b--12bcf0f7,3,"BioVenture, Dalton Venture, Legend Capital",Early Stage Venture,BioVenture,Series B,3,100000000,CNY,14032527,,,,190000000,CNY,27288875,Yes,,https://microlite.cn,$50M to $100M,Early Stage Venture,4,"7,242",
2024-11-16,C Ray Therapeutics develops healthcare advancements through nuclear medicine.,C Ray Therapeutics,https://www.crunchbase.com/organization/c-ray-therapeutics,"Health Care, Health Diagnostics, Medical, Nuclear","Chengdu, Sichuan, China, Asia",Series A - C Ray Therapeutics,https://www.crunchbase.com/funding_round/c-ray-therapeutics-series-a--5cda4506,5,"3SBio Inc., GL Ventures LLC, Guanghua Wutong Fund, Shenzhen Capital Group, Tailong Investment",Early Stage Venture,"Shenzhen Capital Group, Tailong Investment",Series A,3,100000000,USD,100000000,,,,100000000,USD,100000000,Yes,,https://www.c-raytherapeutics.com,,Early Stage Venture,1,"7,273",
2024-10-22,Didi Woya develops technologies for self-driving vehicles for rideshares.,Didi Woya,https://www.crunchbase.com/organization/didi-woya,"Automotive, Autonomous Vehicles","Beijing, Beijing, China, Asia",Series C - Didi Woya,https://www.crunchbase.com/funding_round/didi-woya-series-c--44d14d12,2,"Didi, Guangzhou Automobile Group",Late Stage Venture,Guangzhou Automobile Group,Series C,5,298000000,USD,298000000,,,,1247000000,USD,1247000000,Yes,,https://www.didiglobal.com/science/intelligent-driving,$10B+,Late Stage Venture,,"7,355",
2024-11-22,Hohem is a camera gimbal developer specialized in the development and design of drone flight control and image stabilization systems.,Hohem,https://www.crunchbase.com/organization/hohem,"Digital Entertainment, Manufacturing","Shenzhen, Guangdong, China, Asia",Series B - Hohem,https://www.crunchbase.com/funding_round/hohem-series-b--e22048b4,6,"Cowin Capital, Hanxing Venture Capital, Legend Capital, Shunwei Capital, Yunmu Capital, Yunqi Partners",Early Stage Venture,"Legend Capital, Shunwei Capital",Series B,1,100000000,CNY,13806434,,,,100000000,CNY,13806434,Yes,,https://www.hohem.com,,Early Stage Venture,5,"7,514",
2024-11-18,Galaxy Bot is an innovative robotics company that provides intelligent universal service robotic products.,Galaxy Bot,https://www.crunchbase.com/organization/galaxy-bot,"Intelligent Systems, Manufacturing, Robotics","Beijing, Beijing, China, Asia",Venture Round - Galaxy Bot,https://www.crunchbase.com/funding_round/galaxy-bot-series-unknown--4dd528ba,13,"Beijing Artificial Intelligence Industry Investment Fund, Beijing Robot Industry Fund, BlueRun Ventures, CCB International, Golden Vision Capital, Hengxu Capital, Hong Kong Investment Corporation Limited, IDG Capital, Matrix Partners China, Shanghai Artificial Intelligence Industry Equity Investment Fund, Shenzhen Capital Group, Winreal Investment, Y&R Capital",,,Venture - Series Unknown,3,500000000,CNY,69095130,,,,1200000000,CNY,165496601,Yes,,http://www.galbot.com,,,,"7,542",
2024-10-23,Liangjiang is an AI manufacturer of high-precision equipment.,Liangjiang,https://www.crunchbase.com/organization/liangjiang,"Artificial Intelligence (AI), Industrial Manufacturing, Manufacturing","Shenzhen, Guangdong, China, Asia",Seed Round - Liangjiang,https://www.crunchbase.com/funding_round/liangjiang-seed--c89c3014,3,"Huaye Tiancheng Capital, UnityVC, Vertex Ventures China",Seed,Vertex Ventures China,Seed,2,,,,,,,10000000,CNY,1371742,Yes,,https://quantisantech.com,,Seed,3,"7,570",
2024-11-21,"Ultron Photonics is a high-tech enterprise specializing in the research, development and application of industrial-grade ultrafast lasers.",Ultron Photonics,https://www.crunchbase.com/organization/ultron-photonics,"Electronics, Laser, Machinery Manufacturing","Hangzhou, Zhejiang, China, Asia",Series C - Ultron Photonics,https://www.crunchbase.com/funding_round/ultron-photonics-series-c--12b10678,4,"CDH Investments, Huaxia Heng Tian, JUNQUANXIN Capital, Sunny Optical Technology",Late Stage Venture,,Series C,4,,,,,,,,,,Yes,,https://www.ultronphotonics.com/,$1M to $10M,Late Stage Venture,,"7,687",
2024-11-05,QinHydrogen is a hydrogen fuel cell manufacturer.,QinHydrogen,https://www.crunchbase.com/organization/qinhydrogen,"Battery, Manufacturing","Xian Shi, Shaanxi, China, Asia",Seed Round - QinHydrogen,https://www.crunchbase.com/funding_round/qinhydrogen-seed--2555a2f3,2,"Xi'an Hangcheng Innovation Engine Investment Fund, Xi'an Jiaotong University 1896 Capital",Seed,Xi'an Hangcheng Innovation Engine Investment Fund,Seed,2,,,,,,,,,,Yes,,https://www.qinhydrogen.com,,Seed,,"7,946",
2024-10-29,Zhongke Motong is a one-stop overall solution providing comprehensive solutions for intelligent manufacturing.,Zhongke Motong,https://www.crunchbase.com/organization/zhongke-motong,"Advanced Materials, Automotive, Manufacturing","Changzhou, Zhejiang, China, Asia",Series C - Zhongke Motong,https://www.crunchbase.com/funding_round/zhongke-motong-series-c--a9d98ec9,1,Sungrow,Late Stage Venture,Sungrow,Series C,4,,,,,,,150000000,CNY,20917376,Yes,,http://www.casmt.cn,,Late Stage Venture,,"8,040",
2024-11-06,Aiator is an artificial intelligence product and technology solutions company,Aiator,https://www.crunchbase.com/organization/aiator,"Artificial Intelligence (AI), Biotechnology, Information Technology, Machine Learning","Shenzhen, Guangdong, China, Asia",Series A - Aiator,https://www.crunchbase.com/funding_round/aiator-series-a--ab356c28,5,"Bingqiang Gao, Oriental Fortune Capital, Rugao Science and Technology Venture Capital, Shenqi Capital, Virtu International",Early Stage Venture,"Oriental Fortune Capital, Shenqi Capital",Series A,3,,,,,,,10000000,CNY,1455265,Yes,,http://www.aiator.com/,$1M to $10M,Early Stage Venture,2,"8,082",
2024-09-19,"Xingmai Innovation creates, develops, and sells intelligent swimming pool cleaning robots.",Xingmai Innovation,https://www.crunchbase.com/organization/xingmai-innovation,"Robotics, Swimming","Suzhou, Jiangsu, China, Asia",Series A - Xingmai Innovation,https://www.crunchbase.com/funding_round/xingmai-innovation-series-a--a3823970,9,"Anker Innovations, Bingqiang Gao, Cathay Capital, Hillhouse Investment, Monolith Management, Shunwei Capital, Source Code Capital, Wuzhong Financial Holdings, Yunmu Capital",Early Stage Venture,"Anker Innovations, Cathay Capital, Monolith Management",Series A,2,,,,,,,200000000,CNY,29075261,Yes,,,,Early Stage Venture,5,"8,119",
2024-11-22,Archimedes Semiconductor engages in the manufacture of new energy vehicles and photovoltaic SiC/IGBT chips and modules.,Archimedes Semiconductor,https://www.crunchbase.com/organization/archimedes-semiconductor,"Electronics, Industrial, Manufacturing, Semiconductor","Hefei, Anhui, China, Asia",Series A - Archimedes Semiconductor,https://www.crunchbase.com/funding_round/archimedes-semiconductor-series-a--ae273f83,4,"Hefei Renfa New Energy Investment, New Energy Angel Fund, Renchuang Phase II Equity Investment Partnership, Sungrow",Early Stage Venture,Sungrow,Series A,2,,,,,,,47000000,USD,47000000,Yes,,http://www.ac-semi.com,,Early Stage Venture,,"8,145",
2024-11-15,"Lingdong Technology is a provider of new energy thermal management systems, specializing in the development of thermal management systems.",Lingdong Technology,https://www.crunchbase.com/organization/lingdong-technology,"Energy, Energy Management","Hangzhou, Zhejiang, China, Asia",Series A - Lingdong Technology,https://www.crunchbase.com/funding_round/lingdong-technology-series-a--cd88ec42,3,"HSG, Liuyi Touzi, Vision Plus Capital",Early Stage Venture,Vision Plus Capital,Series A,2,10000000,CNY,1382648,,,,10000000,CNY,1382648,Yes,,,,Early Stage Venture,,"8,217",
2024-11-03,DeepRoute.ai develops autonomous driving technology for safer and smarter transportation.,Deeproute,https://www.crunchbase.com/organization/deeproute,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles","Shenzhen, Guangdong, China, Asia",Series C - Deeproute,https://www.crunchbase.com/funding_round/deeproute-series-c--798ab3e2,1,Great Wall Motors,Late Stage Venture,Great Wall Motors,Series C,5,100000000,USD,100000000,,,,450000000,USD,450000000,Yes,,https://deeproute.ai,$50M to $100M,Late Stage Venture,,"8,466",
2024-09-02,Infinigence is dedicated to providing AGI computing power solutions based on its large model energy efficiency optimization tools.,Infinigence,https://www.crunchbase.com/organization/wuwen-xinqiong,"Artificial Intelligence (AI), Cloud Computing, Electronics","Beijing, Beijing, China, Asia",Series A - Infinigence,https://www.crunchbase.com/funding_round/wuwen-xinqiong-series-a--6a58c43d,15,"Angel Plus China, CDB Technology Venture Capital, DT Capital Partners, Fortune Venture Capital, iSoftStone, Legend Capital, Lenovo Capital and Incubator Group (LCIG), Lingang Science and Technology Venture Capital, Qiming Venture Partners, Senruo Yukun, Shangshi Fund, Shunwei Capital, Xiaomi, Xuhui State Investment Group, Zhengjing Capital",Early Stage Venture,"Angel Plus China, Legend Capital, Qiming Venture Partners",Series A,2,500000000,CNY,70248398,,,,500000000,CNY,70248398,Yes,,https://cloud.infini-ai.com,,Early Stage Venture,1,"8,523",
2024-11-15,Matwings is a biotechnology industry that moves evolution methods to design functionally optimized proteins by leveraging a proprietary.,Matwings Technology,https://www.crunchbase.com/organization/matwings-technology,"Alternative Protein, Biotechnology, Energy Efficiency","Minhang, Shanghai, China, Asia",Series A - Matwings Technology,https://www.crunchbase.com/funding_round/matwings-technology-series-a--871e1de3,4,"3E Bioventures, Jingtao Venture Capital, Qiming Venture Partners, Yonghua Capital",Early Stage Venture,Qiming Venture Partners,Series A,1,100000000,CNY,13826478,,,,100000000,CNY,13826478,Yes,,https://www.matwings.com/en/,$1M to $10M,Early Stage Venture,1,"9,299",
2024-07-14,AusperBio is a biotechnology company that develops innovative drugs for curing chronic hepatitis B and other major infectious diseases.,AusperBio,https://www.crunchbase.com/organization/ausperbio,"Biopharma, Biotechnology, Pharmaceutical","Hangzhou, Zhejiang, China, Asia",Series A - AusperBio,https://www.crunchbase.com/funding_round/ausperbio-series-a--8e182d9e,5,"BioVenture, Genesis Capital, Hankang Capital, InnoPinnacle Fund, Qiming Venture Partners",Early Stage Venture,InnoPinnacle Fund,Series A,4,37000000,USD,37000000,,,,173666990,USD,173666990,Yes,,http://www.ausperbio.com,$10M to $50M,Early Stage Venture,1,"9,332",
2024-10-22,IntoCare is a high-tech company specializing in surgical products.,IntoCare,https://www.crunchbase.com/organization/intocare,"Health Care, Medical, Medical Device","Suzhou, Jiangsu, China, Asia",Series D - IntoCare,https://www.crunchbase.com/funding_round/intocare-series-d--b2de64e7,1,Qiming Venture Partners,Late Stage Venture,,Series D,7,10000000,USD,10000000,,,,94248490,USD,94248490,Yes,,http://www.intocare.com,,Late Stage Venture,1,"9,443",
2024-11-18,Huali Juneng is a pressure vessel and related equipment producer company.,Huali Juneng,https://www.crunchbase.com/organization/huali-juneng,Manufacturing,"Wuxi Shi, Jiangsu, China, Asia",Seed Round - Huali Juneng,https://www.crunchbase.com/funding_round/huali-juneng-seed--52f01fad,8,"Binhu State Investment, Huajin Capital, National Manufacturing Transformation and Upgrading Fund, New Alliance Capital, Shaanxi Aerospace Power Research Institute, Wuxi Jinyuan Rongda Investment Partnership, Xianting Fund, Yingyuan Investment",Seed,,Seed,1,800000000,CNY,110552208,,,,800000000,CNY,110552208,Yes,,https://www.whuali.com,,Seed,,"9,591",
2024-11-08,Deepano is a developer and provider of visual intelligence platform technology.,Deepano,https://www.crunchbase.com/organization/deepano,"Artificial Intelligence (AI), Augmented Reality, Virtual Reality","Shanghai, Shanghai, China, Asia",Series A - Deepano,https://www.crunchbase.com/funding_round/deepano-series-a--0f9c0254,2,"Jiayuan Zhijie, Shanghai Luanque Asset Management",Early Stage Venture,Jiayuan Zhijie,Series A,3,10000000,CNY,1392913,,,,23000000,CNY,3325501,Yes,,http://www.deepano.com/,,Early Stage Venture,,"9,801",
2024-11-14,Jingdu Semiconductor is a provider of integrated circuit packaging and testing services.,Crystalline semiconductor,https://www.crunchbase.com/organization/crystalline-semiconductor,"Packaging Services, Semiconductor, Service Industry","Zhenjiang, Guangdong, China, Asia",Series B - Crystalline semiconductor,https://www.crunchbase.com/funding_round/crystalline-semiconductor-series-b--fde4cea1,1,Amphora Capital,Early Stage Venture,Amphora Capital,Series B,2,,,,,,,,,,Yes,,http://www.atonepoint.cn/?gyjd/,,Early Stage Venture,,"9,869",
2024-11-04,"Ruili Scientific Instruments is a joint venture that focuses on research, development, production and sales of process testing equipment.",Ruili Scientific Instruments,https://www.crunchbase.com/organization/ruili-scientific-instruments,"Industrial Engineering, Manufacturing, Semiconductor","Shanghai, Shanghai, China, Asia",Series B - Ruili Scientific Instruments,https://www.crunchbase.com/funding_round/ruili-scientific-instruments-series-b--5cf2768f,5,"China Merchants Zhiyuan Capital, Dingqing Investment, GoldStone Investment, Henan Asset Management, Sinoking Capital",Early Stage Venture,"China Merchants Zhiyuan Capital, GoldStone Investment",Series B,1,500000000,CNY,70434440,,,,500000000,CNY,70434440,Yes,,http://www.rsicsh.com/,,Early Stage Venture,,"10,042",
