Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round),Sentiment
2023-12-26,Smart Yunzhou is a video fusion technology company that upgrades digital twin to a video twin application using 3D geographic information.,Smart Yunzhou,https://www.crunchbase.com/organization/smart-yunzhou,"3D Technology, Developer APIs, Video Editing","Haidian, Beijing, China, Asia",Series B - Smart Yunzhou,https://www.crunchbase.com/funding_round/smart-yunzhou-series-b--90b2c2f7,1,Hefei High-tech VC,Early Stage Venture,Hefei High-tech VC,Series B,1,,,,,,,,,,Yes,,https://www.smartyunzhou.com,,Early Stage Venture,,"15,429",
2023-12-08,"ReaVis specializes in offering modern AR display technology, enabling the deep integration of actual sceneries and intelligent vision.",ReaVis,https://www.crunchbase.com/organization/ruiweishi,"Augmented Reality, Automotive, Software","Nanjing, Jiangsu, China, Asia",Series A - ReaVis,https://www.crunchbase.com/funding_round/ruiweishi-series-a--1ed6bca2,1,Xiaomi,Early Stage Venture,Xiaomi,Series A,3,,,,,,,,,,Yes,,http://rea-vis.com,,Early Stage Venture,,"16,953",
2024-01-01,Xike Intelligence is a manufacturing company that produces a wide range of automatic intelligent cooking machines and vegetable cutters.,Xike Intelligence,https://www.crunchbase.com/organization/xike-intelligence,"Home Appliances, Home Decor, Manufacturing","Anyang, Henan, China, Asia",Seed Round - Xike Intelligence,https://www.crunchbase.com/funding_round/xike-intelligence-seed--6cb47275,1,Fuan Fund,Seed,Fuan Fund,Seed,1,10000000,CNY,1412709,,,,10000000,CNY,1412709,Yes,,http://www.henanxike.com/,,Seed,,"17,891",
2023-12-26,Songshan Lake Industrial is a medical instrument research and development company that offers both R&D and production services.,Songshan Lake Industrial,https://www.crunchbase.com/organization/songshan-lake-industrial,"Hospital, Medical, Wellness","Dongguang, Guangdong, China, Asia",Corporate Round - Songshan Lake Industrial,https://www.crunchbase.com/funding_round/songshan-lake-industrial-corporate-round--c9267d5a,1,Wondfo Biotech,,Wondfo Biotech,Corporate Round,1,123000000,CNY,17218691,,,,123000000,CNY,17218691,Yes,,,,,,"19,242",
2023-12-07,CloudSpace is an AI-based big data solution platform that focuses on technical advantages in providing accurate and effective IT Services.,CloudSpace,https://www.crunchbase.com/organization/cloudspace-c348,"Artificial Intelligence (AI), Big Data, Information Technology, IT Management","Haidian, Beijing, China, Asia",Angel Round - CloudSpace,https://www.crunchbase.com/funding_round/cloudspace-c348-angel--e8d48f18,1,Zijin High-Tech Venture Capital,Seed,Zijin High-Tech Venture Capital,Angel,1,,,,,,,,,,Yes,,http://www.yhsk.com.cn,,Seed,,"21,458",
2023-12-31,Jingwei Slewing Bearing is a transmission equipment company that specializes in the development and manufacturing of slewing bearings.,Jingwei Slewing Bearing,https://www.crunchbase.com/organization/jingwei-slewing-bearing,"Industrial Manufacturing, Machinery Manufacturing","Maanshan, Anhui, China, Asia",Series C - Jingwei Slewing Bearing,https://www.crunchbase.com/funding_round/jingwei-slewing-bearing-series-c--ae74ec65,5,"CETC Fund, Dangtu Industrial Investment, Guangdong Development Capital, Minju Venture Capital, Shenwan Innovation Investment",Late Stage Venture,CETC Fund,Series C,1,100000000,CNY,14126608,,,,100000000,CNY,14126608,Yes,,http://www.masjwei.com,,Late Stage Venture,,"21,963",
2023-12-29,Hummingbird Intelligent Manufacturing is a pilot test R&D and achievement transformation service platform.,Hummingbird Intelligent Manufacturing,https://www.crunchbase.com/organization/hummingbird-intelligent-manufacturing,"Manufacturing, Product Research, Social Entrepreneurship","Jinan, Shandong, China, Asia",Series B - Hummingbird Intelligent Manufacturing,https://www.crunchbase.com/funding_round/hummingbird-intelligent-manufacturing-series-b--147779a0,1,CTG,Early Stage Venture,CTG,Series B,2,,,,,,,,,,Yes,,https://www.fnuav.cn/,,Early Stage Venture,,"22,270",
2023-11-27,"Yinniu Microelectronics provides 3D binocular stereo vision, multi-sensor fusion visual processing,AI chips and product design.",Inuchip,https://www.crunchbase.com/organization/inuchip,"3D Technology, Artificial Intelligence (AI), Product Design, Semiconductor, Sensor, Software","Beijing, Beijing, China, Asia",Series A - Inuchip,https://www.crunchbase.com/funding_round/inuchip-series-a--d26ae9dd,5,"Accurate Capital, Hefei Industry Investment Group, Jinxi Venture Capital Management, Precision Capital Advisors, Zeus Entertainment",Early Stage Venture,"Accurate Capital, Hefei Industry Investment Group, Precision Capital Advisors",Series A,1,500000000,CNY,70113444,,,,500000000,CNY,70113444,Yes,,https://www.inuchip.com/,,Early Stage Venture,2,"22,354",
2023-12-29,Merike Biotechnology is a technologically advanced business with original core biotechnology.,Merike Biotechnology,https://www.crunchbase.com/organization/merike-biotechnology,"Biotechnology, Health Care, Medical","Suzhou, Jiangsu, China, Asia",Angel Round - Merike Biotechnology,https://www.crunchbase.com/funding_round/merike-biotechnology-angel--7d07f085,3,"Hainan Yinsong, Langrun Taicheng, Star Capital",Seed,Langrun Taicheng,Angel,1,,,,,,,,,,Yes,,http://www.innomiracle.com,,Seed,,"22,996",
2023-11-28,Sinzen Medtech is a medical technology company that specializes in minimally invasive surgical and tumor treatments.,Sinzen Medtech,https://www.crunchbase.com/organization/sinzen-medtech,"Medical, Oncology","Minhang, Shanghai, China, Asia",Seed Round - Sinzen Medtech,https://www.crunchbase.com/funding_round/sinzen-medtech-seed--d998f408,2,"Fong Capital Partners, Haimaide Ventures",Seed,Haimaide Ventures,Seed,2,,,,,,,,,,Yes,,https://www.szmedtec.com,,Seed,1,"23,114",
