Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round),Sentiment
2024-05-22,Lijituan is a developer of merchant empowerment systems that meet the needs of the market economy.,Shaanxi Lijituan Technology,https://www.crunchbase.com/organization/shaanxi-lijituan-technology,"Business Development, Industrial, Industrial Engineering","Dongcheng, Shaanxi, China, Asia",Seed Round - Shaanxi Lijituan Technology,https://www.crunchbase.com/funding_round/shaanxi-lijituan-technology-seed--737073d6,1,Guanfeng Capital,Seed,Guanfeng Capital,Seed,2,10000000,CNY,1409761,,,,20000000,CNY,2797821,Yes,,,,Seed,,"1,998",
2024-01-27,PerfXLab is an AI computing solution company.,Perfxlab,https://www.crunchbase.com/organization/perfxlab,"Artificial Intelligence (AI), Information Technology, Machine Learning","Beijing, Beijing, China, Asia",Venture Round - Perfxlab,https://www.crunchbase.com/funding_round/perfxlab-series-unknown--8619377c,1,Huaqiang Capital,,Huaqiang Capital,Venture - Series Unknown,1,,,,,,,,,,Yes,,https://perfxlab.cn,,,2,"8,499",
2024-02-22,Yunchuang Zhixing is an unmanned sanitation autonomous vehicle developer.,Yunchuang Zhixing,https://www.crunchbase.com/organization/yunchuang-zhixing,"Automotive, Autonomous Vehicles","Suzhou, Jiangsu, China, Asia",Series A - Yunchuang Zhixing,https://www.crunchbase.com/funding_round/yunchuang-zhixing-series-a--b737760a,1,SECCO Investment,Early Stage Venture,SECCO Investment,Series A,4,,,,,,,,,,Yes,,https://www.yczx.tech/,Less than $1M,Early Stage Venture,1,"8,906",
2024-03-04,XMC is a leading semiconductor R&D and manufacturing company located in Wuhan.,XMC,https://www.crunchbase.com/organization/xmc,"Manufacturing, Semiconductor","Wuhan, Hubei, China, Asia",Funding Round - XMC,https://www.crunchbase.com/funding_round/xmc-undisclosed--effbf4ce,7,"Bank of China, CCB Investments, China Internet Investment Fund, CITIC Securities Investment, Hubei Integrated Circuit Industry Investment, Hubei Science and Technology Investment, Wuhan Optics Valley Industrial Investment",,,Funding Round,1,2697000000,CNY,374588536,,,,2697000000,CNY,374588536,Yes,,http://xmcwh.com/,,,,"9,541",
2024-05-30,Puyuan Bio engages in the clinical quantitative detection of tumor-specific mRNA in human peripheral blood.,Puyuan Bio,https://www.crunchbase.com/organization/puyuan-bio,"Biotechnology, Health Care, Life Science, Medical","Hefei, Anhui, China, Asia",Seed Round - Puyuan Bio,https://www.crunchbase.com/funding_round/puyuan-bio-seed--817b2077,3,"Shanghai Jiaotong University Source Fund, West Lake Science and Technology Direct Investment Fund, Xinghua Dingli",Seed,,Seed,2,1410000,USD,1410000,,,,1410000,USD,1410000,Yes,,,,Seed,2,"10,305",
2024-01-16,Vidacom specializes in the biological manufacture of natural goods.,Vidacom,https://www.crunchbase.com/organization/vidacom-f070,"Biotechnology, Manufacturing, Sales","Baoding, Hebei, China, Asia",Series A - Vidacom,https://www.crunchbase.com/funding_round/vidacom-f070-series-a--9ed612c9,2,"Addor Capital, Huachuang Securities",Early Stage Venture,Addor Capital,Series A,1,100000000,CNY,14032134,,,,100000000,CNY,14032134,Yes,,https://www.vdk.com,,Early Stage Venture,,"11,849",
2024-03-18,Chunyu Yisheng is an application that offers mobile internet medical care and online health consultation services.,Chunyu Yisheng,https://www.crunchbase.com/organization/chunyu,"Apps, Health Care, InsurTech, Personal Health, Q&A, Software","Beijing, Beijing, China, Asia",Venture Round - Chunyu Yisheng,https://www.crunchbase.com/funding_round/chunyu-series-unknown--bf9e0f19,4,"Fosun International, Huaying Capital, Qiming Venture Partners, Tencent",,,Venture - Series Unknown,6,213000000,CNY,29589498,,,,272946268,USD,272946268,Yes,,http://www.chunyuyisheng.com,$10M to $50M,,,"12,366",
2024-05-14,"Hubei Port Group is a port service provider that engages in comprehensive logistics, port park construction, and development services.",Hubei Port Group,https://www.crunchbase.com/organization/hubei-port-group,"Construction, Logistics, Ports and Harbors, Shipping","Wuhan, Hubei, China, Asia",Series B - Hubei Port Group,https://www.crunchbase.com/funding_round/hubei-port-group-series-b--ef42872e,4,"HJDT, Hubei Hongtai State-owned Capital Investment Operation Group, Y.U.D. Yangtze River Investment, Yichang Chengfa Investment Group",Early Stage Venture,,Series B,1,,,,,,,,,,Yes,,http://www.hubeiport.com/,,Early Stage Venture,,"14,762",
2024-03-20,Aqua Helpers is a full-service R&D and manufacturing company for intelligent unmanned ships.,Aqua Helpers,https://www.crunchbase.com/organization/aqua-helpers,"Advanced Materials, Artificial Intelligence (AI), Manufacturing","Chaoyang, Liaoning, China, Asia",Corporate Round - Aqua Helpers,https://www.crunchbase.com/funding_round/aqua-helpers-corporate-round--f0a81357,1,DoBe Group,,DoBe Group,Corporate Round,3,,,,,,,,,,Yes,,https://www.aquahelpers.cn,,Early Stage Venture,,"15,522",
2024-04-22,Yujingdu Small Stove is a hot pot brand that specializes in the incorporation of local specialty ingredients.,Yujingdu Small Stove,https://www.crunchbase.com/organization/encountering-jingdu-small-stove,"Catering, Food and Beverage, Food Processing, Snack Food","Nanjing, Jiangsu, China, Asia",Angel Round - Yujingdu Small Stove,https://www.crunchbase.com/funding_round/encountering-jingdu-small-stove-angel--29d8f000,1,Yanyu Venture Capital,Seed,Yanyu Venture Capital,Angel,1,6000000,CNY,828329,,,,6000000,CNY,828329,Yes,,,,Seed,,"15,550",
