Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2015-03-01,Ark Biosciences is a biopharmaceutical company that is dedicated to the discovery and development,Ark Biosciences,https://www.crunchbase.com/organization/ark-biosciences,"Biopharma, Biotechnology, Health Care, Pharmaceutical","Shanghai, Shanghai, China, Asia",Series A - Ark Biosciences,https://www.crunchbase.com/funding_round/ark-biosciences-series-a--3e6cb52c,3,"Morningside, Qiming Venture Partners, TF Capital",Early Stage Venture,"Morningside, Qiming Venture Partners",Series A,6,,,,,,,40086000,USD,40086000,Yes,,http://arkbiosciences.com,$10M to $50M,Late Stage Venture,1,"76,276"
2015-04-07,"Meican.com is focused on providing mobile ordering of foods, detailed take-out menus, and more.",Meican,https://www.crunchbase.com/organization/meican,"E-Commerce, Hospitality, Mobile","Beijing, Beijing, China, Asia",Series C - Meican,https://www.crunchbase.com/funding_round/meican-series-c--406cfa37,4,"Dazhong Dianping, Kleiner Perkins, NGP Capital, Trustbridge Partners",Late Stage Venture,Dazhong Dianping,Series C,9,23000000,USD,23000000,,,,190000000,USD,190000000,Yes,,http://meican.com,,Late Stage Venture,2,"91,460"
2015-03-01,Joyowo.com is an online HR service platform through the Cloud+SaaS model to provide enterprises with social insurance services.,Joyowo.com,https://www.crunchbase.com/organization/joyowo-com,"Business Development, Customer Service, Human Resources, SaaS","Hangzhou, Zhejiang, China, Asia",Series A - Joyowo.com,https://www.crunchbase.com/funding_round/joyowo-com-series-a--94ae864b,4,"HSG, Huaying Capital, Meridian Capital Asia, Tsing Ventures",Early Stage Venture,HSG,Series A,3,70000000,CNY,11204884,,,,340000000,CNY,53231927,Yes,,http://www.joyowo.com/,$50M to $100M,Late Stage Venture,,"98,652"
2015-03-30,Yuanfudao provides live courses and tutoring through an online platform.,Yuanfudao,https://www.crunchbase.com/organization/yuanfudao,"E-Learning, EdTech, Tutoring","Beijing, Beijing, China, Asia",Series D - Yuanfudao,https://www.crunchbase.com/funding_round/yuanfudao-series-d--29019d2a,4,"CMC Capital Group, IDG Capital, Matrix Partners China, New Horizon Capital",Late Stage Venture,CMC Capital Group,Series D,11,60000000,USD,60000000,360000000,USD,360000000,4044200000,USD,4044200000,Yes,,https://www.yuanfudao.com/,$10M to $50M,Late Stage Venture,1,"113,328"
2015-03-18,Xiaoxian Dun is a healthy food products company.,Xiaoxian Dun,https://www.crunchbase.com/organization/xiaoxian-dun,"Food and Beverage, Health Care, Organic Food","Beijing, Beijing, China, Asia",Angel Round - Xiaoxian Dun,https://www.crunchbase.com/funding_round/xiaoxian-dun-angel--72d4025b,3,"Angel Plus China, Foshan Tianmeiran Food, Hongtai Capital Holdings",Seed,Angel Plus China,Angel,4,3000000,CNY,482907,,,,22027523,USD,22027523,Yes,,http://www.xxdun.com,,Late Stage Venture,,"113,814"
2015-03-09,Westwell Lab is a commercial lab specializing in neuromorphic circuits and systems.,Westwell Lab,https://www.crunchbase.com/organization/westwell-lab,"Artificial Intelligence (AI), Information Technology","Shanghai, Shanghai, China, Asia",Seed Round - Westwell Lab,https://www.crunchbase.com/funding_round/westwell-lab-seed--dc38483c,1,Lijie Wang,Seed,Lijie Wang,Seed,6,500000,USD,500000,,,,15126163,USD,15126163,Yes,,http://www.westwell-lab.com/,$10M to $50M,Late Stage Venture,1,"124,168"
2015-02-12,Yoyi Digital is a multi-screen programmatic buying platform for targeted online advertising and marketing solutions.,Yoyi Digital,https://www.crunchbase.com/organization/yoyi-media,"Advertising, Internet, Marketing","Beijing, Beijing, China, Asia",Series D - Yoyi Digital,https://www.crunchbase.com/funding_round/yoyi-media-series-d--ebf8e91b,1,Guangzhou Daily Media,Late Stage Venture,Guangzhou Daily Media,Series D,5,20000000,USD,20000000,,,,60000000,USD,60000000,Yes,,http://www.yoyi.com.cn/,$10M to $50M,Late Stage Venture,,"131,685"
2015-05-14,Quest Genomics is a company that provides tumour genetic testing instruments and reagents for research and development.,Quest Genomics,https://www.crunchbase.com/organization/quest-genomics,"Biotechnology, Health Diagnostics, Medical, Medical Device","Nanjing, Jiangsu, China, Asia",Angel Round - Quest Genomics,https://www.crunchbase.com/funding_round/quest-genomics-angel--589b7b36,4,"Cowin Capital, Hunan Jingfeng Pharmaceutical, Lapam Capital, Ronglian Chuangfu",Seed,,Angel,2,3000000,CNY,485442,,,,3000000,CNY,485442,Yes,,http://www.questgenomics.com/,,Late Stage Venture,,"158,511"
2015-03-18,Zimi is a manufacturer of portable battery chargers for electronic devices.,Zimi,https://www.crunchbase.com/organization/zimi,"Mobile, Mobile Devices","Nanjing, Jiangsu, China, Asia",Series B - Zimi,https://www.crunchbase.com/funding_round/zimi-series-b--125587c8,3,"GGV Capital, Shunwei Capital, Xiaomi",Early Stage Venture,GGV Capital,Series B,3,15000000,USD,15000000,,,,117840000,USD,117840000,Yes,,http://www.zmifi.com/,$10M to $50M,,1,"158,812"
2015-04-24,Mission Information Technology is an artificial intelligence-listed company that develops integrated communication systems.,Mission Information Technology,https://www.crunchbase.com/organization/mission-information-technology,"Information Services, Information Technology, Software, Transportation","Minhang, Shanghai, China, Asia",Series A - Mission Information Technology,https://www.crunchbase.com/funding_round/mission-information-technology-series-a--e2aeeed9,3,"SAIC Capital, Shanghai Hongjie Touzi, Shenzhenshi Huabang Qiye Guanli",Early Stage Venture,,Series A,4,10000000,CNY,1618890,,,,53000000,CNY,7791302,Yes,,http://www.missiongroup.com.cn/,,,,"160,308"
2015-04-01,Leqee provides creative marketing and design services for e-commerce development company.,Leqee,https://www.crunchbase.com/organization/leqee,"Creative Agency, E-Commerce, Marketing","Dongguang, Guangdong, China, Asia",Seed Round - Leqee,https://www.crunchbase.com/funding_round/leqee-seed--1862898b,1,Gaorong Capital,Seed,,Seed,5,,,,,,,8919963,USD,8919963,Yes,,https://www.leqee.com/,,Early Stage Venture,,"161,701"
2015-02-05,LLVision focuses on AR+AI technology integration and provides related hardware products and software services.,LLVision,https://www.crunchbase.com/organization/llvision,"Apps, Artificial Intelligence (AI), Augmented Reality, Electronics, Enterprise, Enterprise Software, Machine Learning, Software","Beijing, Beijing, China, Asia",Angel Round - LLVision,https://www.crunchbase.com/funding_round/llvision-angel--e2262831,2,"Cheetah Mobile, Matrix Partners China",Seed,,Angel,6,,,,,,,31242598,USD,31242598,Yes,,https://www.llvision.com,Less than $1M,Late Stage Venture,,"164,166"
2015-05-01,"MedSci provides strategies, solutions and services to pharmaceutical, biotech and medical device organization.",MedSci,https://www.crunchbase.com/organization/medsci,Health Care,"Shanghai, Shanghai, China, Asia",Series A - MedSci,https://www.crunchbase.com/funding_round/medsci-series-a--5aaa2afb,1,Qiming Venture Partners,Early Stage Venture,Qiming Venture Partners,Series A,2,92000000,CNY,14873365,,,,392000000,CNY,61765217,Yes,,http://www.medsci.cn/,$100M to $500M,IPO,1,"178,430"
2015-04-08,Yuekai Securities is the provider of comprehensive financial securities services.,Yuekai Securities,https://www.crunchbase.com/organization/yuekai-securities,"Asset Management, Finance, Financial Services, Security","Huizhou, Guangdong, China, Asia",Post-IPO Equity - Yuekai Securities,https://www.crunchbase.com/funding_round/yuekai-securities-post-ipo-equity--5f0d7848,41,"Beijing Hongshunying Zixun, Caida Securities, Capital Fortune, China Fortune Securities, CICC Wealth Management, Daxinhua Hangkong, DCI (Shanghai) Investment Management, Dongguan Securities, Essence Securities, Guangzhou Securities, Guodu Securities, Guosen Securities, Guoyin Touzi, Haikou Meilan Guoji Jichang, Hengqin Ruifeng Juyuan, Hengtai Securities, Hongcheng Dasha, Huaan Securities, Huade Shangmao, Huizhoushi Paimaihang, Hunan Chengchenghui Touzi, Industrial Securities, Jianghai Securities, Jishi Ziben, Kunshan Zhonglian Zonghe Kaifa, Legend Capital, Lidong Muqiang, Ningbo Haishu Rihuan Shangmao, Nongshang Touzi, Orient Securities, Qianhai Tonglu, Sairongxin, Shanghai Daixi, Shanghai Zhuangjing Maoyi, Shengjing Toulian, Wuhua Yingzhi Kemao, Yinli Chuangjia Touzi, Zhenxing Shengtai, Zhongjin Guolian Touzi, Zhongshanshi Batongjie Shangwu Fuwu, Zhongtai Securities",,,Post-IPO Equity,3,2790000000,CNY,451090329,,,,3374000000,CNY,536221978,Yes,,http://www.lxsec.com,,IPO,,"179,945"
2015-02-10,Basecare is a manufacturing devices for embryonic pre-implantation genetic screening.,Basecare,https://www.crunchbase.com/organization/basecare,"Genetics, Manufacturing, Medical Device","Suzhou, Jiangsu, China, Asia",Series A - Basecare,https://www.crunchbase.com/funding_round/basecare-series-a--f3818fa5,1,Oriza Seed Capital (Oriza Yuandian),Early Stage Venture,Oriza Seed Capital (Oriza Yuandian),Series A,3,,,,,,,250000000,CNY,36421030,Yes,,https://basecare.cn/,$10M to $50M,IPO,,"180,086"
2015-05-14,YTO Express provides a variety of Chinese delivery services.,YTO Express,https://www.crunchbase.com/organization/yto-express,"Delivery, E-Commerce, Logistics, Staffing Agency","Shanghai, Shanghai, China, Asia",Post-IPO Equity - YTO Express,https://www.crunchbase.com/funding_round/yto-express-post-ipo-equity--5ed421b6,2,"Alibaba Group, YF Capital",,,Post-IPO Equity,2,,,,,,,6600000000,CNY,966537307,Yes,,http://www.yto.net.cn/,$1B to $10B,IPO,,"183,189"
2015-05-08,Tuniu is a consumer oriented travel website.,Tuniu,https://www.crunchbase.com/organization/tuniu-com,"E-Commerce, Internet, Leisure, Tourism, Travel","Nanjing, Jiangsu, China, Asia",Post-IPO Equity - Tuniu,https://www.crunchbase.com/funding_round/tuniu-com-post-ipo-equity--3d2b6c64,6,"DCM Ventures, Hony Capital, HSG, JD.com, Temasek Holdings, Trip.com",,JD.com,Post-IPO Equity,7,500000000,USD,500000000,,,,1271000000,USD,1271000000,Yes,,http://www.tuniu.com,$50M to $100M,IPO,3,"201,886"
