Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2011-09-01,"Beijing Centre Biology is a company specializing in researching, developing, manufacturing and selling animal health care products.",Beijing Centre Biology,https://www.crunchbase.com/organization/beijing-centre-biology,"Health Care, Manufacturing, Pet, Veterinary","Changping, Beijing, China, Asia",Series A - Beijing Centre Biology,https://www.crunchbase.com/funding_round/beijing-centre-biology-series-a--4615527a,1,Qiming Venture Partners,Early Stage Venture,Qiming Venture Partners,Series A,3,7353000,USD,7353000,,,,9963003,USD,9963003,Yes,,http://en.centreherbs.com,$1M to $10M,,1,"126,559"
2012-04-01,"MINO provides manufacturing solutions for automotive, aerospace, rail transportation, and general industrial fields.",MINO,https://www.crunchbase.com/organization/mino,"Aerospace, Automotive, Manufacturing","Huangpu, Guangdong, China, Asia",Series A - MINO,https://www.crunchbase.com/funding_round/mino-series-a--42fa1bd0,4,"Haitong Capital, Hanhui Touzi, Hiway Capital, Tsing-Yuan Capital",Early Stage Venture,,Series A,6,10000000,CNY,1587063,,,,948000000,CNY,145190492,Yes,,http://www.minotech.cn/,,,,"156,911"
2011-08-01,Momo is a free location-based services instant messaging application that enables smartphone users to chat with people nearby.,Momo,https://www.crunchbase.com/organization/momo,"Agriculture, Content, Internet of Things, Medical, Mobile Apps, Nursing and Residential Care, Security, SMS","Beijing, Beijing, China, Asia",Series A - Momo,https://www.crunchbase.com/funding_round/momo-series-a--e6e59605,3,"Matrix Partners China, PurpleSky Capital, Stonebridge Capital",Early Stage Venture,Matrix Partners China,Series A,9,2500000,USD,2500000,,,,999912436,USD,999912436,Yes,,http://www.immomo.com,$1B to $10B,IPO,,"158,077"
2011-01-01,Your unified data lake and analysis platform for 5G,Qiniu,https://www.crunchbase.com/organization/qiniu,"Cloud Computing, Cloud Storage, Information Technology, Intelligent Systems","Shanghai, Shanghai, China, Asia",Seed Round - Qiniu,https://www.crunchbase.com/funding_round/qiniu-seed--e5b1685b,1,Matrix Partners China,Seed,,Seed,7,,,,,,,396890187,USD,396890187,Yes,,https://www.qiniu.com/,$1M to $10M,Late Stage Venture,,"165,182"
2011-11-01,"In spur Huaguang Optoelectronics researches, develops, and produces compound semiconductor wafers and optoelectronics.",Shandong In spur Huaguang Optoelectronics,https://www.crunchbase.com/organization/shandong-in-spur-huaguang-optoelectronics,Manufacturing,"Weifang, Shandong, China, Asia",Venture Round - Shandong In spur Huaguang Optoelectronics,https://www.crunchbase.com/funding_round/shandong-in-spur-huaguang-optoelectronics-series-unknown--d326e666,1,Shenzhen Capital Group,,,Venture - Series Unknown,2,,,,,,,,,,Yes,,http://www.hggd.cn/,,,,"165,853"
2012-01-01,Xiaoman Technology is a foreign trade Business to Business service solutions provider.,Xiaoman Technology,https://www.crunchbase.com/organization/xiao-man-technology,"Artificial Intelligence (AI), B2B, Information Technology, Marketing, Service Industry","Shenzhen, Guangdong, China, Asia",Angel Round - Xiaoman Technology,https://www.crunchbase.com/funding_round/xiao-man-technology-angel--5d2a3259,2,"Cloud Angel Fund, ZhenFund",Seed,,Angel,8,,,,,,,113950000,CNY,17547131,Yes,,http://www.xiaoman.cn,$1M to $10M,M&A,,"166,139"
2011-12-20,Xiaomi is an electronics and software company that focuses on mobile devices and technology.,Xiaomi,https://www.crunchbase.com/organization/xiaomi,"Consumer Electronics, Internet, Mobile","Beijing, Beijing, China, Asia",Series B - Xiaomi,https://www.crunchbase.com/funding_round/xiaomi-series-b--b3ad502c,7,"5Y Capital, Hugo Barra, IDG Capital, Qiming Venture Partners, Qualcomm Ventures, Shunwei Capital, Temasek Holdings",Early Stage Venture,"5Y Capital, IDG Capital, Shunwei Capital",Series B,15,90000000,USD,90000000,1000000000,USD,1000000000,12856787500,USD,12856787500,Yes,,http://www.mi.com/en/,$10B+,IPO,4,"193,075"
2012-06-26,Xiaomi is an electronics and software company that focuses on mobile devices and technology.,Xiaomi,https://www.crunchbase.com/organization/xiaomi,"Consumer Electronics, Internet, Mobile","Beijing, Beijing, China, Asia",Series C - Xiaomi,https://www.crunchbase.com/funding_round/xiaomi-series-c--6138225d,8,"5Y Capital, Counterpart Advisors, DST Global, Green Bay Ventures, Hedosophia, Morningside, Qiming Venture Partners, Temasek Holdings",Late Stage Venture,Morningside,Series C,15,216000000,USD,216000000,4000000000,USD,4000000000,12856787500,USD,12856787500,Yes,,http://www.mi.com/en/,$10B+,IPO,3,"203,945"
2011-01-01,Letao is a Chinese website that operates as an online retailer of footwear including sneakers and leather shoes.,Letao,https://www.crunchbase.com/organization/letao,"E-Commerce, Internet, Shoes","Fengtai, Beijing, China, Asia",Series D - Letao,https://www.crunchbase.com/funding_round/letao-series-d--85a80492,3,"Ceyuan Ventures, DT Capital Partners, Tiger Fund",Late Stage Venture,"Ceyuan Ventures, DT Capital Partners, Tiger Fund",Series D,6,30000000,USD,30000000,,,,76472800,USD,76472800,Yes,,http://letao.com/,$1M to $10M,,,"212,112"
2012-05-01,Camera360 is a mobile phone camera application.,Camera360,https://www.crunchbase.com/organization/camera360,"Apps, Photography","Chengdu, Sichuan, China, Asia",Series A - Camera360,https://www.crunchbase.com/funding_round/camera360-series-a--536c17a8,2,"Gobi Partners, Matrix Partners China",Early Stage Venture,"Gobi Partners, Matrix Partners China",Series A,4,10000000,USD,10000000,,,,28000000,USD,28000000,Yes,,http://www.camera360.com/,$1M to $10M,Early Stage Venture,,"212,557"
