Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2014-05-12,"Medlinker is an online medical platform that focuses on disease prevention, diagnosis, treatment, and rehabilitation.",Medlinker,https://www.crunchbase.com/organization/medlinker,"Health Care, Medical, Social Impact","Chengdu, Sichuan, China, Asia",Seed Round - Medlinker,https://www.crunchbase.com/funding_round/medlinker-seed--eef529c0,2,"Bo Feng, Lijie Wang",Seed,"Bo Feng, Lijie Wang",Seed,10,100000,USD,100000,,,,762317981,USD,762317981,Yes,,http://medlinker.com/,$1M to $10M,Late Stage Venture,1,"83,200"
2014-05-01,"Pop Mart is a toy company that designs, produces, distributes, and commercializes art toys.",Pop Mart,https://www.crunchbase.com/organization/pop-mart,"Manufacturing, Retail, Toys","Beijing, Beijing, China, Asia",Series B - Pop Mart,https://www.crunchbase.com/funding_round/pop-mart-series-b--3988b409,2,"Golden Eagle, Mochishan Venture Capital",Early Stage Venture,"Golden Eagle, Mochishan Venture Capital",Series B,8,10000000,CNY,1602411,,,,114862329,USD,114862329,Yes,,https://global.popmart.com,$500M to $1B,IPO,,"112,956"
2014-07-23,The independent open platform for discovery and recommendation of financial products in China.,Jianpu Technology,https://www.crunchbase.com/organization/jianpu-technology,Financial Services,"Beijing, Beijing, China, Asia",Series C - Jianpu Technology,https://www.crunchbase.com/funding_round/jianpu-technology-series-c--e4cfb530,5,"KPCB China, Lightspeed Venture Partners, Pavilion Capital, Sequoia Capital, Zero2IPO Ventures",Late Stage Venture,Pavilion Capital,Series C,2,60000000,USD,60000000,,,,60000000,USD,60000000,Yes,,http://ir.jianpu.ai/,$100M to $500M,IPO,,"114,677"
2014-09-01,Phylion Battery is a manufacturer of lithium-ion batteries for electric vehicles.,Phylion Battery,https://www.crunchbase.com/organization/phylion-battery,"Battery, Electric Vehicle, Manufacturing","Suzhou, Jiangsu, China, Asia",Angel Round - Phylion Battery,https://www.crunchbase.com/funding_round/phylion-battery-angel--f0c0f4c4,1,Legend Holdings,Seed,Legend Holdings,Angel,4,,,,,,,2272000000,CNY,349458436,Yes,,http://www.phylion.com/,$1M to $10M,,,"131,581"
2014-09-01,Nanchang Lianneng Technology is a new type of electromagnetic shielding material developer.,Nanchang Lianneng Technology,https://www.crunchbase.com/organization/nanchang-lianneng-technology,"Innovation Management, Manufacturing, Product Research","Nanchang, Hebei, China, Asia",Corporate Round - Nanchang Lianneng Technology,https://www.crunchbase.com/funding_round/nanchang-lianneng-technology-corporate-round--d5901070,1,GSR United Capital,,,Corporate Round,2,5471233,CNY,890118,,,,5471233,CNY,890118,Yes,,http://www.unite-tec.com/sy,,,,"167,504"
2014-09-12,MYBO Game is a gaming company which has developed various gaming applications for the iOS users.,MYBO GAME,https://www.crunchbase.com/organization/mybo-game,"Gaming, Sports","Shanghai, Shanghai, China, Asia",Seed Round - MYBO GAME,https://www.crunchbase.com/funding_round/mybo-game-seed--d490f577,1,ZhenFund,Seed,,Seed,2,,,,150000000,CNY,24444590,,,,Yes,,http://www.mybogame.com,$1M to $10M,,,"167,645"
2014-09-01,UNIMED provides integrated medical service models.,UNIMED,https://www.crunchbase.com/organization/tongxin-yilian-technology,"Health Care, Internet, Medical","Beijing, Beijing, China, Asia",Angel Round - UNIMED,https://www.crunchbase.com/funding_round/tongxin-yilian-technology-angel--0255f6bf,1,Legend Star,Seed,,Angel,5,1500000,CNY,244036,,,,186500000,CNY,28089735,Yes,,http://www.tongxinyilian.com/,$1M to $10M,Late Stage Venture,,"169,387"
2014-06-30,Sumscope is a fintech company focused on the RMB OTC market.,Sumscope,https://www.crunchbase.com/organization/sumscope,"Financial Services, FinTech, Insurance","Shanghai, Shanghai, China, Asia",Non Equity Assistance - Sumscope,https://www.crunchbase.com/funding_round/sumscope-non-equity-assistance--3e137f24,1,Microsoft Accelerator,,,Non-equity Assistance,3,,,,,,,,,,No,,http://www.sumscope.com,$50M to $100M,,,"170,444"
2014-06-06,MOGU operates a fashion-focused e-commerce website.,MOGU,https://www.crunchbase.com/organization/mogujie,"Beauty, E-Commerce, Fashion","Hangzhou, Zhejiang, China, Asia",Series D - MOGU,https://www.crunchbase.com/funding_round/mogujie-series-d--f97e4893,6,"Banyan Mezzanine Funds, Hillhouse Investment, HOPU Investment Management Company, IDG Capital, Prophet Capital, Qiming Venture Partners",Late Stage Venture,HOPU Investment Management Company,Series D,7,200000000,USD,200000000,800000000,USD,800000000,411000000,USD,411000000,Yes,,http://www.mogu-inc.com,$10M to $50M,IPO,2,"178,243"
2014-07-22,"NEO is a community-based non-profit block chain project, is the use of block chain technology and digital identity for digital assets...",NEO,https://www.crunchbase.com/organization/neo,Blockchain,"Shanghai, Shanghai, China, Asia",Pre Seed Round - NEO,https://www.crunchbase.com/funding_round/neo-pre-seed--c57f6961,3,"Block Ventures, Chain Capital, Lijie Wang",Seed,Lijie Wang,Pre-Seed,3,150000,USD,150000,,,,100150000,USD,100150000,Yes,,https://neo.org/,$10M to $50M,Early Stage Venture,,"181,443"
