Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2022-05-06,Maple Leaf Car Rental focuses on the leasing of high-end cars and focuses on assets.,Maple Leaf Car Rental,https://www.crunchbase.com/organization/maple-leaf-car-rental,"Automotive, Rental, Travel Agency","Chongming, Shanghai, China, Asia",Seed Round - Maple Leaf Car Rental,https://www.crunchbase.com/funding_round/maple-leaf-car-rental-seed--57fb0465,3,"Daohe Investment, Junyang Capital, Lianchuang Yongxuan Investment",Seed,Lianchuang Yongxuan Investment,Seed,1,,,,,,,,,,Yes,,https://www.fyrentcar.com/,,Seed,,"6,662"
2022-04-19,iVX is a zero-code development tool designed for a new generation of zero-code developers.,iVX,https://www.crunchbase.com/organization/ivx,"Developer Tools, Graphic Design, Productivity Tools","Shenzhen, Guangdong, China, Asia",Venture Round - iVX,https://www.crunchbase.com/funding_round/ivx-series-unknown--6dd69a07,1,Haoyuan Capital,,,Venture - Series Unknown,1,,,,,,,,,,Yes,,https://www.ivx.cn/,,,,"7,686"
2022-04-26,ON TIME is a mobile travel service provider company.,ON TIME,https://www.crunchbase.com/organization/on-time-0b57,"Automotive, Car Sharing, Industrial Engineering, Ride Sharing, Transportation, Travel","Guangzhou, Guangdong, China, Asia",Series A - ON TIME,https://www.crunchbase.com/funding_round/on-time-0b57-series-a--12101706,12,"GAC Group, Guangzhou Automobile Group, Guangzhou Industrial Investment Group, Industrial Control Capital, Lingnan Business Travel Group, Lingnan Group, Pilgrim Partners Asia, Ruisheng Asia, SPARX Group, Wenyuan Zhixing, WeRide, Xiaoma Zhixing",Early Stage Venture,"GAC Group, Guangzhou Automobile Group",Series A,4,1000000000,CNY,152501792,,,,1892000000,CNY,277214129,Yes,,https://www.ruqimobility.com,$100M to $500M,Early Stage Venture,,"13,203"
2022-07-08,"JLSemi is a manufacturing company that specializes and excels in high-speed Analog, advanced DSP, and mixed-signal designs.",JLSemi,https://www.crunchbase.com/organization/jlsemi,"Application Specific Integrated Circuit (ASIC), Manufacturing, Semiconductor","Shanghai, Shanghai, China, Asia",Series C - JLSemi,https://www.crunchbase.com/funding_round/jlsemi-series-c--3878b891,5,"GP Capital, Inno-Chip, Jinpu Xinchao, Renchen Semiconductor, Summitview Capital",Late Stage Venture,"Renchen Semiconductor, Summitview Capital",Series C,6,90000000,USD,90000000,,,,90000000,USD,90000000,Yes,,https://www.jlsemi.com,,Late Stage Venture,,"21,870"
2022-07-18,Digital Enhancement is a high-performance DFE solution provider.,Digital Enhancement,https://www.crunchbase.com/organization/digital-enhancement,Network Hardware,"Shenzhen, Guangdong, China, Asia",Seed Round - Digital Enhancement,https://www.crunchbase.com/funding_round/digital-enhancement-seed--e0303ea7,3,"FutureCap, GRC SinoGreen Fund, Legend Capital",Seed,,Seed,2,90000000,CNY,13346581,,,,90000000,CNY,13346581,Yes,,https://www.digienh.com,$1M to $10M,Early Stage Venture,,"31,997"
2022-05-25,"Blocklords is a team of gamers ourselves, we love creating memorable experiences that can be shared together with others.",Blocklords,https://www.crunchbase.com/organization/metaking-studios,"Computer, Gaming, Video Games","Shanghai, Shanghai, China, Asia",Seed Round - Blocklords,https://www.crunchbase.com/funding_round/metaking-studios-seed--10b6d6db,35,"Animoca Brands, Ascensive Assets, Avocado Guild, Big Brain Holdings, BITKRAFT Ventures, BreederDAO, CMT Digital, Delphi Ventures, Double Peak Group, DWeb3 Capital, Formless Capital, Huobi Ventures, Immutable Systems, Infinity Venture Fund, Jump Trading, Makers Fund, MCE Group, Oddiyana Ventures, Polkastarter, Republic, Ryze Labs, Samara Asset Group, Senscape Technologies, Shima Capital, Skynet Trading, Snackclub, Solidity Ventures, The Spartan Group, TPS Capital, Tyr Capital, Unanimous Capital, UniX, Ww Ventures, Yield Guild Games, Yield Guild Games Southeast Asia",Seed,"BITKRAFT Ventures, Makers Fund",Seed,5,15000000,USD,15000000,,,,31000000,USD,31000000,Yes,,https://www.blocklords.com/,,Seed,1,"34,632"
2022-04-08,Guogong Intelligence is an information technology company that provides solutions for manufacturing and implementation of landing services.,Guogong Intelligence,https://www.crunchbase.com/organization/guogong-intelligence,"Artificial Intelligence (AI), Computer, Hardware, Information Technology","Yantai, Liaoning, China, Asia",Series A - Guogong Intelligence,https://www.crunchbase.com/funding_round/guogong-intelligence-series-a--d646e02a,4,"Addor Capital, Shandong Finance Investment Group, Yantai Finance Development and Investment Group, Yuanhe Capital",Early Stage Venture,"Addor Capital, Shandong Finance Investment Group, Yantai Finance Development and Investment Group",Series A,1,,,,,,,,,,Yes,,https://www.gogetter.cn/,,Early Stage Venture,,"36,424"
2022-04-12,"Foodbowl creates seasonal ingredients, fresh, and self-selected healthy light meals.",Foodbowl,https://www.crunchbase.com/organization/foodbowl,"Food and Beverage, Organic Food, Snack Food","Beijing, Beijing, China, Asia",Angel Round - Foodbowl,https://www.crunchbase.com/funding_round/foodbowl-angel--97795be9,2,"Mingyu Investment, Wanwu Capital",Seed,,Angel,1,1430000,USD,1430000,,,,1430000,USD,1430000,Yes,,http://www.foodbowl.cn/,,Seed,,"37,304"
2022-05-18,Yaan Technology is a network security product developer.,Ya'an Technology,https://www.crunchbase.com/organization/ya-an-technology,"Cloud Security, Cyber Security, Network Security","Minhang, Shanghai, China, Asia",Angel Round - Ya'an Technology,https://www.crunchbase.com/funding_round/ya-an-technology-angel--3d4561d5,3,"Entrepreneurship Relay Group, TusStar, Zizhu Xiaomiao Fund",Seed,TusStar,Angel,2,,,,,,,,,,Yes,,https://www.asants.com/,Less than $1M,Seed,,"37,424"
2022-06-07,Resnics manufactures storage and network data processor chip solutions for the communications and Internet industries.,Resnics,https://www.crunchbase.com/organization/resnics,"Communication Hardware, Internet, Manufacturing, Semiconductor","Shanghai, Shanghai, China, Asia",Series A - Resnics,https://www.crunchbase.com/funding_round/resnics-series-a--7f888b81,7,"Bull Capital, Dingxin Capital, Grit Ventures, JLSemi, MassAve Global, Oakseed Ventures, Renchen Semiconductor",Early Stage Venture,"JLSemi, MassAve Global, Renchen Semiconductor",Series A,2,,,,,,,,,,Yes,,http://www.resnics.com,,Early Stage Venture,,"39,540"
