Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2018-07-23,Qihan Biotech is a gene-editing organ transplantation technology developer.,Qihan Biotech,https://www.crunchbase.com/organization/qihan-biotech,"Biotechnology, Clinical Trials, Health Care, Medical, Medical Device","Hangzhou, Zhejiang, China, Asia",Series A - Qihan Biotech,https://www.crunchbase.com/funding_round/qihan-biotech-series-a--70f177e3,6,"Alta Partners, ARCH Venture Partners, Biomatics Capital Partners, HSG, Northern Light Venture Capital, Shulan Junjie Capital",Early Stage Venture,HSG,Series A,4,7800000,USD,7800000,,,,116300000,USD,116300000,Yes,,http://www.qihanbio.com/,,Early Stage Venture,,"66,495"
2018-07-03,Shukun Technology is a Chinese AI medical company that focuses on developing diagnostics systems for chronic diseases.,Shukun Technology,https://www.crunchbase.com/organization/shukun-technology,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical","Beijing, Beijing, China, Asia",Series A - Shukun Technology,https://www.crunchbase.com/funding_round/shukun-technology-series-a--163b2875,3,"5Y Capital, Huagai Capital, Marathon Venture Partners",Early Stage Venture,"5Y Capital, Huagai Capital",Series A,7,100000000,USD,100000000,,,,296414853,USD,296414853,Yes,,http://www.shukun.net,,Late Stage Venture,1,"80,033"
2018-08-24,Luxin Technology is a power semiconductor developer specializing in the design and application of power semiconductors.,Luxin Technology (Lu-Semi),https://www.crunchbase.com/organization/luxin-technology-lu-semi,"Computer, Information Technology, Manufacturing","Shanghai, Shanghai, China, Asia",Series A - Luxin Technology (Lu-Semi),https://www.crunchbase.com/funding_round/luxin-technology-lu-semi-series-a--b4047005,2,"Cowin Venture, Summitview Capital",Early Stage Venture,"Cowin Venture, Summitview Capital",Series A,2,,,,,,,,,,Yes,,http://www.lu-semi.com/,,Late Stage Venture,,"86,338"
2018-07-23,Baiying Bio is a research and development outsourcing service provider.,Baiying Bio,https://www.crunchbase.com/organization/baiying-bio,"Biotechnology, Outsourcing, Service Industry","Beijing, Beijing, China, Asia",Angel Round - Baiying Bio,https://www.crunchbase.com/funding_round/baiying-bio-angel--2a732f76,2,"BW Ventures, Rui Mengxi Capital",Seed,"BW Ventures, Rui Mengxi Capital",Angel,2,,,,,,,500000000,CNY,72564728,Yes,,https://www.biointron.com,$100M to $500M,Early Stage Venture,,"86,378"
2018-07-03,VDJ is an antibody drug research and development enterprise.,VDJ,https://www.crunchbase.com/organization/vdj,"Biotechnology, Medical, Pharmaceutical","Haidian, Beijing, China, Asia",Series C - VDJ,https://www.crunchbase.com/funding_round/vdj-series-c--52ad7b0b,1,Beijing Youhe Dingxin Equity Investment Management,Late Stage Venture,Beijing Youhe Dingxin Equity Investment Management,Series C,5,30000000,CNY,4517188,,,,56000000,CNY,8469565,Yes,,https://www.vdjbio.com/,,Late Stage Venture,,"87,951"
2018-07-17,"Airemedi specialises in the development, production, and sales of precision navigation products.",Ariemedi,https://www.crunchbase.com/organization/ariemedi,"Manufacturing, Medical Device, Product Design","Beijing, Beijing, China, Asia",Seed Round - Ariemedi,https://www.crunchbase.com/funding_round/ariemedi-seed--336e7e02,1,Puhua Capital,Seed,Puhua Capital,Seed,2,3000000,USD,3000000,,,,3000000,USD,3000000,Yes,,http://www.ariemedi.com/,$1M to $10M,Early Stage Venture,,"111,971"
2018-07-20,NeighBor Doc is an online platform that provides healthcare services.,NeighBor Doc,https://www.crunchbase.com/organization/neighbor-doc,"Health Care, Medical, Mobile","Hangzhou, Zhejiang, China, Asia",Series A - NeighBor Doc,https://www.crunchbase.com/funding_round/neighbor-doc-series-a--f403aab9,4,"BioVenture, Cowin Venture, Dalton Venture, Shulan Health",Early Stage Venture,BioVenture,Series A,4,20000000,CNY,2953948,,,,133000000,CNY,20609819,Yes,,http://linjiahaoyi.com/,$10M to $50M,Early Stage Venture,,"116,149"
2018-07-04,SoulSense is a Media & Entertainment company.,SoulSense,https://www.crunchbase.com/organization/soulsense,"Digital Media, Media and Entertainment","Beijing, Beijing, China, Asia",Series A - SoulSense,https://www.crunchbase.com/funding_round/soulsense-series-a--60d52026,3,"IDG Capital, Puhua Capital, SIG China (SIG Asia Investments)",Early Stage Venture,IDG Capital,Series A,2,3009800,USD,3009800,,,,3009800,USD,3009800,Yes,,https://soulsense.cn,,Early Stage Venture,,"118,600"
2018-08-23,Douli is an enterprise welfare cloud platform.,Douli,https://www.crunchbase.com/organization/douli,"Events, Internet, Shopping, Software","Shanghai, Shanghai, China, Asia",Angel Round - Douli,https://www.crunchbase.com/funding_round/douli-angel--221732c1,2,"Jianzheng Touzi, Sangui Investment Holding",Seed,,Angel,3,3000000,CNY,436180,,,,13000000,CNY,1887390,Yes,,https://www.reach-life.com/,,,,"122,677"
2018-07-30,Chongxing Chongwu is a supplier of pet supplies.,Chongxing Chongwu,https://www.crunchbase.com/organization/chongxing-chongwu,,"Shanghai, Shanghai, China, Asia",Series A - Chongxing Chongwu,https://www.crunchbase.com/funding_round/chongxing-chongwu-series-a--9f3df907,2,"Ares Management, Guangzhou Shuimu Zichan Guanli Youxian Gongsi",Early Stage Venture,Ares Management,Series A,6,80000000,CNY,11737692,,,,980000000,CNY,151587458,Yes,,,,Early Stage Venture,,"124,062"
