Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2008-03-01,Tian-Power develops and manufactures batteries for consumer electronic products.,Tian-Power Technology,https://www.crunchbase.com/organization/tian-power-technology,"Battery, Consumer Electronics, Manufacturing","Shenzhen, Guangdong, China, Asia",Series A - Tian-Power Technology,https://www.crunchbase.com/funding_round/tian-power-technology-series-a--1da4d63a,1,CAS Investment Management,Early Stage Venture,,Series A,3,,,,,,,,,,Yes,,http://www.tian-power.com/en/index.aspx,,,,"147,792"
2003-09-15,Semiconductor Manufacturing International (SMIC) is a semiconductor foundry providing IC foundry and technology services.,Semiconductor Manufacturing International,https://www.crunchbase.com/organization/smic,"Electronics, Hardware, Infrastructure, Manufacturing, Semiconductor","Shanghai, Shanghai, China, Asia",Series C - Semiconductor Manufacturing International,https://www.crunchbase.com/funding_round/smic-series-c--7db10d07,17,"AsiaVest Partners, CMF Venture Capital, DCM Ventures, Deutsche China Capital, Funding Global Innovation, Goldman Sachs, H&Q Asia Pacific, New Enterprise Associates, Oak Investment Partners, Shanghai Industrial Holdings, Shenzhen Capital Group, SIIC Investment, Temasek Holdings, Vertex Ventures, Vertex Ventures Israel, Walden International, ZJ Innopark (Zhangjiang Hi-Tech Park)",Late Stage Venture,,Series C,4,630000000,USD,630000000,,,,3899888922,USD,3899888922,Yes,,http://www.smics.com/en/,$1B to $10B,IPO,3,"158,157"
2007-06-01,"IAT Automobile Technology is focused on automobile design, development, and engineering services.",IAT-Auto,https://www.crunchbase.com/organization/iat-auto,"Automotive, Manufacturing, Product Design","Beijing, Beijing, China, Asia",Venture Round - IAT-Auto,https://www.crunchbase.com/funding_round/iat-auto-series-unknown--bd84b168,1,GSR United Capital,,,Venture - Series Unknown,3,5461538,USD,5461538,,,,25461538,USD,25461538,Yes,,http://www.iat-auto.com,$100M to $500M,,,"166,958"
2006-05-01,Trina Solar is a manufacturer of crystalline silicon photovoltaic modules and system integration.,Trina Solar,https://www.crunchbase.com/organization/trina-solar-ltd,"Energy, Environmental Engineering, Manufacturing, Renewable Energy, Solar","Changzhou, Zhejiang, China, Asia",Venture Round - Trina Solar,https://www.crunchbase.com/funding_round/trina-solar-ltd-series-unknown--0d7d3132,1,Milestone Capital China,,Milestone Capital China,Venture - Series Unknown,5,,,,,,,639304921,USD,639304921,Yes,,http://www.trinasolar.com/,$10B+,IPO,,"177,122"
2008-04-01,"HL Technology Group provides cable assembling and related solutions for the fields of computer, consumer electronics, and communication.",Honglin Technology Group Limited,https://www.crunchbase.com/organization/honglin-technology-group-limited,"Communications Infrastructure, Electronics, Manufacturing","Weihai, Shandong, China, Asia",Series A - Honglin Technology Group Limited,https://www.crunchbase.com/funding_round/honglin-technology-group-limited-series-a--b289ed1b,2,"PreIPO, Shenzhen Capital Group",Early Stage Venture,"PreIPO, Shenzhen Capital Group",Series A,1,5000000,USD,5000000,,,,5000000,USD,5000000,Yes,,https://www.hong-lin.com.cn ,$100M to $500M,Early Stage Venture,,"180,961"
2008-02-04,"CAR Inc., the largest car rental company in China and a Hong Kong Stock Exchange listed public company.",CAR,https://www.crunchbase.com/organization/china-auto-rental-holdings,"Automotive, Rental","Beijing, Beijing, China, Asia",Series A - CAR,https://www.crunchbase.com/funding_round/china-auto-rental-holdings-series-a--108a4c01,2,"KPCB China, Legend Capital",Early Stage Venture,,Series A,6,3000000,USD,3000000,,,,904435885,USD,904435885,Yes,,http://en.zuche.com/,$100M to $500M,IPO,,"185,998"
2008-09-01,"Global Data Solutions designs, builds, and operates data centers in the People's Republic of China together with its subsidiaries.",Global Data Solutions,https://www.crunchbase.com/organization/global-data-solutions,"Data Center, Information Technology, Private Social Networking, Software","Shanghai, Shanghai, China, Asia",Series C - Global Data Solutions,https://www.crunchbase.com/funding_round/global-data-solutions-series-c--5953d92a,3,"China Everbright Investment Management, Oriza Holdings, SAIF Partners",Late Stage Venture,,Series C,4,45000000,USD,45000000,,,,730000000,USD,730000000,Yes,,http://www.gds-services.com/,$100M to $500M,IPO,,"186,649"
2007-01-01,E-House is a real estate services company in China offering a comprehensive online-to-offline (O2O) service platform.,E-House,https://www.crunchbase.com/organization/e-house,"Big Data, Real Estate","Shanghai, Shanghai, China, Asia",Series B - E-House,https://www.crunchbase.com/funding_round/e-house-series-b--7709e787,1,PreIPO,Early Stage Venture,,Series B,4,,,,,,,264728546,USD,264728546,Yes,,http://www.ehousechina.com,,IPO,,"188,125"
2005-09-16,"Actions Semiconductor, a Chinese fabless semiconductor company, provides portable multimedia and mobile internet system-on-a-chip solutions.",Actions Semiconductor,https://www.crunchbase.com/organization/actions-semiconductor,"Hardware, Manufacturing, Software","Guangdong, Jilin, China, Asia",Series A - Actions Semiconductor,https://www.crunchbase.com/funding_round/actions-semiconductor-series-a--00373846,7,"GIC, HSBC, Intel Capital, New Enterprise Associates, Northern Light Venture Capital, RimAsia Capital Partners, Shanghai Industrial Holdings",Early Stage Venture,"GIC, Intel Capital, New Enterprise Associates",Series A,1,80000000,USD,80000000,,,,80000000,USD,80000000,Yes,,https://www.actions-semi.com,$50M to $100M,IPO,,"193,154"
2007-03-07,UUSee is a Chinese new media company that provides network television and value-added services for global broadband subscribers.,UUSEE,https://www.crunchbase.com/organization/uusee,"Digital Media, Network Hardware, TV","Beijing, Beijing, China, Asia",Series B - UUSEE,https://www.crunchbase.com/funding_round/uusee-series-b--d7a2691f,5,"DFJ Growth, Highland Capital Partners, Sequoia Capital, SIG China (SIG Asia Investments), Steamboat Ventures",Early Stage Venture,"DFJ Growth, Highland Capital Partners",Series B,2,23500000,USD,23500000,,,,33500000,USD,33500000,Yes,,http://www.uusee.com,$10M to $50M,Early Stage Venture,2,"205,068"
2007-04-16,Tudou is a Chinese video sharing website that enables young users to get their voices heard on mainstream network media platforms.,Tudou,https://www.crunchbase.com/organization/tudou,"Advertising, Internet, News, Photography, Social Network, Video","Shanghai, Shanghai, China, Asia",Series B - Tudou,https://www.crunchbase.com/funding_round/tudou-series-b--3ae24f24,8,"Capital Today, CyberAgent Capital, General Catalyst, GGV Capital, IDG Capital, JAFCO Asia, Japan Asia Investment, KTB Ventures",Early Stage Venture,"Capital Today, General Catalyst",Series B,6,19000000,USD,19000000,,,,135000000,USD,135000000,Yes,,http://www.tudou.com,$10M to $50M,M&A,2,"210,433"
2000-08-03,MeetChina.com China's leading international trade portal.,MeetChina.com,https://www.crunchbase.com/organization/meetchina-com,"Customer Service, E-Commerce, Marketing","Shenzhen, Guangdong, China, Asia",Series C - MeetChina.com,https://www.crunchbase.com/funding_round/meetchina-com-series-c--412bac8e,11,"Archipelago, Ayala Internet Venture Partners, Bessemer Trust, China Resources Technology, Citicorp, First Data Corporation, Grove Strategic Ventures, Hikari Tsushin Group, Motorola Solutions, SBCVC, Thomas Vickers Investment Group",Late Stage Venture,Grove Strategic Ventures,Series C,2,30000000,USD,30000000,,,,40800000,USD,40800000,Yes,,http://www.meetchina.com,$10M to $50M,Late Stage Venture,,"213,031"
2006-11-01,"Qihoo 360 Technology offers internet and mobile security products, online advertising and internet value-added services in China.",Qihoo 360 Technology,https://www.crunchbase.com/organization/qihoo-360-technology,"Internet, Mobile, Security, Software","Beijing, Beijing, China, Asia",Series B - Qihoo 360 Technology,https://www.crunchbase.com/funding_round/qihoo-360-technology-series-b--c7bea9a5,6,"CDH Investments, Highland Capital Partners, HSG, IDG Capital, Matrix, Redpoint",Early Stage Venture,"Highland Capital Partners, HSG",Series B,7,25000000,USD,25000000,,,,11155177563,USD,11155177563,Yes,,https://www.360totalsecurity.com,$500M to $1B,IPO,3,"214,138"
2004-06-18,Baidu is a search engine that enables individuals to obtain information and finds what they need.,Baidu,https://www.crunchbase.com/organization/baidu,"Internet, Search Engine, Social Network","Beijing, Beijing, China, Asia",Series C - Baidu,https://www.crunchbase.com/funding_round/baidu-series-c--f996c0db,8,"Bridger Management, China Equity, China Value, ePlanet Capital, Google, Integrity Partners, Peninsula Capital, Venture TDF",Late Stage Venture,"ePlanet Capital, Google",Series C,4,15000000,USD,15000000,177307644,USD,177307644,2026200000,USD,2026200000,Yes,,http://www.baidu.com,$10B+,IPO,1,"214,205"
2008-03-25,Yaolan.com is an online parent education portal in China.,Yaolan.com,https://www.crunchbase.com/organization/yaolan-com,"Education, Parenting","Beijing, Beijing, China, Asia",Venture Round - Yaolan.com,https://www.crunchbase.com/funding_round/yaolan-com-series-unknown--d511589f,4,"Chengwei Capital, Foundation Capital, New Business Venture Fund, Sutter Hill Ventures",,"Foundation Capital, New Business Venture Fund",Venture - Series Unknown,1,17700000,USD,17700000,,,,17700000,USD,17700000,Yes,,http://www.yaolan.com,$50M to $100M,,,"214,980"
2008-08-28,"Profex is an international dermatology company, distributing dermatological drugs to Chinese dermatologists, patients and consumers.",Profex,https://www.crunchbase.com/organization/profex,"Biotechnology, Health Care, Health Diagnostics, Pharmaceutical","Zhongxin, Shanghai, China, Asia",Series A - Profex,https://www.crunchbase.com/funding_round/profex-series-a--ff33723a,2,"Mustang Ventures, Trident Capital",Early Stage Venture,"Mustang Ventures, Trident Capital",Series A,1,15500000,USD,15500000,,,,15500000,USD,15500000,Yes,,http://www.profex.com,$1M to $10M,Early Stage Venture,1,"218,776"
2003-03-04,United Platform Technologies is a China-based company that offers telecommunication services.,United Platform Technologies,https://www.crunchbase.com/organization/united-platform-technologies,"Information Technology, Telecommunications, Wireless","Haidian, Beijing, China, Asia",Series A - United Platform Technologies,https://www.crunchbase.com/funding_round/united-platform-technologies-series-a--156d1e82,9,"DCM Ventures, Intel Capital, Jerusalem Venture Partners (JVP), Morgenthaler Ventures, New Enterprise Associates, Shanghai Alliance, Sumitomo Electric, Sycamore Ventures, Walden International",Early Stage Venture,Walden International,Series A,1,50000000,USD,50000000,,,,50000000,USD,50000000,Yes,,,,Early Stage Venture,,"221,171"
2007-11-06,VeriSilicon Holdings is an IC design foundry that provides custom silicon solutions and system-on-chip turnkey services.,VeriSilicon Holdings,https://www.crunchbase.com/organization/verisilicon-holdings,"Cloud Computing, DSP, Manufacturing, Semiconductor","Shanghai, Shanghai, China, Asia",Series D - VeriSilicon Holdings,https://www.crunchbase.com/funding_round/verisilicon-holdings-series-d--5de51fcd,9,"Austin Ventures, China Investment Fund, CID Group, HSBC Private Equity (Asia), IDG Capital, Intel Capital, Sierra Ventures, VantagePoint Capital Partners, WI Harper Group",Late Stage Venture,China Investment Fund,Series D,11,20000000,USD,20000000,,,,96663991,USD,96663991,Yes,,http://www.verisilicon.com,$100M to $500M,IPO,3,"230,693"
2007-12-01,56.com is a user-generated content (UGC) video-sharing website in China.,56.com,https://www.crunchbase.com/organization/56-com,"Content, E-Commerce, Video","Guangzhou, Guangdong, China, Asia",Series B - 56.com,https://www.crunchbase.com/funding_round/56-com-series-b--7cdd0b94,6,"Adobe, CID Group, Hikari Tsushin Group, HSG, SIG China (SIG Asia Investments), Steamboat Ventures",Early Stage Venture,Hikari Tsushin Group,Series B,2,20000000,USD,20000000,,,,30000000,USD,30000000,Yes,,http://www.56.com,,M&A,1,"231,303"
2006-07-25,Little Sheep is Chain restaurants in China,Little Sheep,https://www.crunchbase.com/organization/little-sheep,"Hospitality, Meat and Poultry, Restaurants","Baotou, Nei Mongol, China, Asia",Series A - Little Sheep,https://www.crunchbase.com/funding_round/little-sheep-series-a--889a22e2,2,"3i Group, Prax Capital",Early Stage Venture,"3i Group, Prax Capital",Series A,2,200000000,CNY,25038619,,,,200000000,CNY,25038619,Yes,,http://www.littlesheep.com,,M&A,,"231,701"
2008-06-01,SIASUN is operates in robotic industry in China.,SIASUN,https://www.crunchbase.com/organization/shanghai-siasun-robot-automation,"Industrial, Industrial Automation, Manufacturing, Robotics","Shanghai, Shanghai, China, Asia",Series A - SIASUN,https://www.crunchbase.com/funding_round/shanghai-siasun-robot-automation-series-a--2485b294,4,"CAS Investment Management, China Science and Technology Industry Investment Management, Jinshi Investment, Shenyang Yige Investment",Early Stage Venture,,Series A,1,48000000,CNY,6912925,,,,48000000,CNY,6912925,Yes,,https://www.siasun.com/,$500M to $1B,IPO,,"237,739"
2008-08-08,Drug discovery contract research,HD Biosciences,https://www.crunchbase.com/organization/hd-biosciences,"Biotechnology, Medical, Pharmaceutical","Shanghai, Shanghai, China, Asia",Series A - HD Biosciences,https://www.crunchbase.com/funding_round/hd-biosciences-series-a--b21ba2c2,3,"Lilly Asia Ventures, Morningside, Pfizer Venture Investments",Early Stage Venture,"Lilly Asia Ventures, Morningside",Series A,1,,,,,,,,,,Yes,,http://www.hdbiosciences.com,,M&A,,"239,540"
2008-03-04,ET Solar Group is a Chinese photovoltaic company providing solar modules and related photovoltaic solutions worldwide.,ET Solar Group,https://www.crunchbase.com/organization/et-solar-group,"Energy, Energy Efficiency, Solar","Nanjing, Jiangsu, China, Asia",Series A - ET Solar Group,https://www.crunchbase.com/funding_round/et-solar-group-series-a--56a3942c,5,"Ceyuan Ventures, Development Principles Fund, NewMargin Ventures, Partners Group, Tsing Capital",Early Stage Venture,Tsing Capital,Series A,1,50000000,USD,50000000,,,,50000000,USD,50000000,Yes,,http://www.etsolar.com,$1M to $10M,Early Stage Venture,,"240,596"
2007-04-26,ChinaCache is a provider of content delivery networks and cloud-based services.,ChinaCache,https://www.crunchbase.com/organization/chinacache,"E-Commerce, Internet, Web Development","Beijing, Beijing, China, Asia",Series B - ChinaCache,https://www.crunchbase.com/funding_round/chinacache-series-b--953d7154,8,"Ignition Partners, Intel Capital, Investor Growth Capital Limited, JAFCO Asia, O. Covo, Qiming Venture Partners, SIG China (SIG Asia Investments), Sigma Partners",Early Stage Venture,Qiming Venture Partners,Series B,6,31500000,USD,31500000,,,,118500000,USD,118500000,Yes,,http://www.chinacache.com,$10M to $50M,M&A,1,"244,468"
2008-06-01,Temobi.com provides online data monitoring services for various online scenarios.,Temobi.com,https://www.crunchbase.com/organization/temobi-com,"Information Services, Information Technology, Internet","Shenzhen, Guangdong, China, Asia",Series A - Temobi.com,https://www.crunchbase.com/funding_round/temobi-com-series-a--8c6e07d0,2,"CDF-Capital, Co-Power Capital Management",Early Stage Venture,"CDF-Capital, Co-Power Capital Management",Series A,6,15000000,CNY,2160289,,,,168000000,CNY,25248846,Yes,,http://www.temobi.com,,Late Stage Venture,,"244,824"
2007-05-07,Chemclin Biotech is a Chinese provider that is focused on in-vitro diagnostic instruments and auxiliary reagents for clinical diagnosis.,Chemclin,https://www.crunchbase.com/organization/chemclin,"Biotechnology, Health Care, Health Diagnostics","Beijing, Beijing, China, Asia",Series A - Chemclin,https://www.crunchbase.com/funding_round/chemclin-series-a--0ae578d8,3,"Next47, SBCVC, WI Harper Group",Early Stage Venture,"Next47, WI Harper Group",Series A,3,5000000,USD,5000000,,,,314617599,USD,314617599,Yes,,http://www.chemclin.com,$50M to $100M,M&A,,"246,846"
